#{"t_start": 1665137293.4592621, "env_id": "Acrobot-v1"}
r,l,t
-500.0,500,3.631161
-328.0,329,4.7479
-281.0,282,5.621811
-267.0,268,6.414845
-112.0,113,6.76548
-214.0,215,11.432155
-116.0,117,11.795377
-108.0,109,12.132117
-125.0,126,12.525783
-171.0,172,13.123881
-96.0,97,13.449284
-118.0,119,13.841042
-141.0,142,14.308232
-97.0,98,14.622522
-122.0,123,15.014545
-88.0,89,15.296775
-88.0,89,15.572541
-106.0,107,15.903067
-145.0,146,17.679199
-125.0,126,18.073202
-109.0,110,18.422271
-86.0,87,18.705476
-89.0,90,19.025147
-109.0,110,19.402588
-96.0,97,19.743532
-94.0,95,20.083274
-103.0,104,20.436586
-75.0,76,20.69427
-79.0,80,20.944554
-78.0,79,21.18973
-98.0,99,21.500458
-87.0,88,21.777616
-77.0,78,22.018311
-192.0,193,24.745227
-88.0,89,25.023518
-111.0,112,25.377154
-73.0,74,25.629882
-81.0,82,25.918166
-78.0,79,26.191313
-77.0,78,26.461842
-177.0,178,27.100795
-85.0,86,27.401493
-71.0,72,27.645378
-81.0,82,27.901629
-95.0,96,28.205691
-83.0,84,28.464554
-63.0,64,28.664595
-92.0,93,28.976243
-85.0,86,29.240842
-97.0,98,29.541173
-82.0,83,33.770353
-190.0,191,34.358117
-88.0,89,34.635463
-67.0,68,34.846954
-77.0,78,35.085537
-74.0,75,35.320863
-82.0,83,35.579823
-101.0,102,35.896117
-93.0,94,36.190549
-81.0,82,36.444431
-74.0,75,36.662076
-81.0,82,36.894898
-92.0,93,37.166338
-78.0,79,37.395586
-75.0,76,37.618874
-89.0,90,37.879449
-84.0,85,38.122656
-80.0,81,39.730306
-78.0,79,39.964744
-85.0,86,40.216753
-96.0,97,40.500601
-73.0,74,40.717802
-89.0,90,40.985424
-80.0,81,41.236723
-74.0,75,41.471595
-89.0,90,41.746803
-81.0,82,42.0057
-76.0,77,42.244693
-71.0,72,42.472664
-85.0,86,42.742564
-63.0,64,42.937233
-77.0,78,43.186057
-63.0,64,43.393448
-99.0,100,43.709563
-91.0,92,44.001207
-78.0,79,44.248134
-76.0,77,44.48869
-76.0,77,45.934267
-78.0,79,46.192627
-70.0,71,46.418542
-79.0,80,46.672952
-100.0,101,46.986185
-85.0,86,47.272734
-79.0,80,47.558172
-73.0,74,47.813863
-85.0,86,48.11062
-71.0,72,48.364652
-82.0,83,48.6581
-91.0,92,48.963576
-71.0,72,49.198797
-94.0,95,49.503264
-76.0,77,49.739724
-77.0,78,49.982987
