#{"t_start": 1665128694.748065, "env_id": "Acrobot-v1"}
r,l,t
-500.0,500,3.579405
-250.0,251,4.419847
-149.0,150,4.884364
-159.0,160,5.37038
-168.0,169,5.874445
-205.0,206,6.502418
-274.0,275,11.226393
-105.0,106,11.561311
-90.0,91,11.848064
-111.0,112,12.215534
-109.0,110,12.602511
-105.0,106,12.942997
-107.0,108,13.290477
-124.0,125,13.692212
-77.0,78,13.944141
-115.0,116,14.291229
-99.0,100,14.587561
-109.0,110,14.915039
-109.0,110,15.240843
-85.0,86,15.499819
-103.0,104,19.228937
-99.0,100,19.532377
-165.0,166,20.047787
-109.0,110,20.432728
-96.0,97,20.759129
-80.0,81,21.019685
-81.0,82,21.286862
-106.0,107,21.65998
-82.0,83,21.929488
-122.0,123,22.324715
-94.0,95,22.610814
-82.0,83,22.856541
-84.0,85,23.111546
-75.0,76,23.343565
-77.0,78,23.579336
-104.0,105,23.894174
-111.0,112,26.035306
-70.0,71,26.25087
-82.0,83,26.497631
-84.0,85,26.749453
-93.0,94,27.033818
-104.0,105,27.359298
-90.0,91,27.650523
-81.0,82,27.93178
-120.0,121,28.338123
-79.0,80,28.616494
-97.0,98,28.959211
-79.0,80,29.224907
-101.0,102,29.56462
-102.0,103,29.875911
-69.0,70,30.087345
-86.0,87,30.350626
-168.0,169,32.400771
-82.0,83,32.649787
-90.0,91,32.926459
-70.0,71,33.148493
-85.0,86,33.431765
-75.0,76,33.693068
-102.0,103,34.028364
-77.0,78,34.286723
-79.0,80,34.583438
-88.0,89,34.897462
-94.0,95,35.200457
-74.0,75,35.441406
-86.0,87,35.711299
-65.0,66,35.912797
-112.0,113,36.261331
-64.0,65,36.465337
-106.0,107,36.79775
-84.0,85,37.054614
-63.0,64,37.248454
-119.0,120,38.9209
-103.0,104,39.243409
-80.0,81,39.514426
-61.0,62,39.727218
-62.0,63,39.946471
-97.0,98,40.273321
-130.0,131,40.724383
-77.0,78,40.985838
-87.0,88,41.26906
-100.0,101,41.585853
-64.0,65,41.784284
-83.0,84,42.0387
-62.0,63,42.226183
-72.0,73,42.451786
-70.0,71,42.666308
-79.0,80,42.9067
-69.0,70,43.117459
-76.0,77,43.352011
-77.0,78,47.544026
-89.0,90,47.815124
-70.0,71,48.029608
-69.0,70,48.243375
-81.0,82,48.493951
-77.0,78,48.729177
-87.0,88,48.995825
-71.0,72,49.212754
-73.0,74,49.440553
-91.0,92,49.717951
-208.0,209,50.370527
-81.0,82,50.619431
-91.0,92,50.895001
-73.0,74,51.119415
-89.0,90,51.385999
-79.0,80,51.61918
-85.0,86,51.881245
-86.0,87,52.144783
-62.0,63,53.84609
-95.0,96,54.140555
-69.0,70,54.353333
-68.0,69,54.564189
-90.0,91,54.843439
-79.0,80,55.093163
