#{"t_start": 1665206943.8645377, "env_id": "LunarLander-v2"}
r,l,t
-136.456904,85,2.651997
-249.033068,113,3.473639
-76.22674,189,5.438124
-432.13009,248,8.659326
-8.835461,91,9.779411
5.67101,233,13.314948
-29.512053,207,16.904234
-100.008328,215,19.874535
-242.161549,299,24.552478
-41.391196,186,27.100321
-147.561238,237,29.636873
-167.689776,155,31.077604
-165.042133,146,32.658464
-138.061463,124,33.977988
-6.72596,219,36.6246
-16.992149,185,38.774117
27.994414,112,40.198717
-233.800023,361,356.158157
-96.22894,159,358.266627
-0.320909,165,360.879545
-8.945401,369,367.273649
-25.726815,321,371.454344
20.483948,144,373.568683
138.685269,1000,394.093012
42.276844,267,399.798563
183.453291,1000,812.923534
-80.194944,163,816.333627
-214.196806,183,821.488731
-72.090815,400,828.337531
-156.78165,163,831.055433
-221.649312,367,838.734287
-11.034876,230,843.113422
-277.766348,185,846.328919
-59.536886,227,850.10133
-190.11137,193,852.918123
-50.455896,257,857.591399
-5.037353,160,860.66126
-105.498655,282,1333.044424
-55.366714,432,1341.474283
48.430098,196,1344.999776
-12.033068,338,1350.886568
-90.192013,149,1353.251247
-275.670352,317,1357.38234
-23.505977,259,1361.084886
-39.561242,369,1367.115189
4.996955,267,1372.848015
-21.676247,231,1378.006025
299.700642,811,1810.26718
-20.331162,168,1813.140399
-44.484262,308,1818.928293
-41.156101,274,1824.018812
-175.262874,146,1826.4519
33.060601,237,1831.514593
0.4508,172,1834.283876
-14.127786,263,1838.705917
30.504427,159,1841.770865
-172.490972,162,1845.071419
-127.95928,154,1848.512905
-40.356991,296,1853.716708
-188.005505,282,2229.364236
20.254421,349,2235.411715
-156.339267,207,2238.823171
-166.266211,210,2242.462963
-14.473961,184,2244.772718
-64.904521,480,2254.120115
-12.848328,182,2257.340317
-75.267125,314,2263.883975
1.347191,165,2266.622058
308.231098,712,2280.314403
311.139075,231,2284.996622
-2.261027,277,2687.998169
-21.478138,354,2694.75197
-63.437272,175,2696.986527
-227.720912,406,2704.345221
19.732487,165,2706.82382
-18.636133,271,2710.722259
64.10871,188,2713.646394
45.584498,170,2716.274651
-33.338264,346,2722.812997
250.169982,355,2728.791502
-3.038233,214,2731.807885
-192.601818,201,2734.909546
-179.180445,270,3111.862896
-8.358442,335,3118.720414
-7.406593,158,3120.674598
-159.386127,210,3123.187251
12.871944,161,3125.372227
272.20981,329,3130.568547
253.189273,324,3135.109293
-26.040324,253,3140.012872
-10.857632,313,3145.711266
-46.481153,363,3151.969781
-50.570559,305,3157.540468
