#{"t_start": 1665125150.6550388, "env_id": "Acrobot-v1"}
r,l,t
-427.0,428,4.272389
-194.0,195,5.030113
-182.0,183,5.728911
-121.0,122,6.18954
-109.0,110,6.606939
-118.0,119,7.05432
-205.0,206,7.829856
-121.0,122,8.288738
-144.0,145,9.855987
-140.0,141,10.402657
-130.0,131,10.933311
-159.0,160,11.606758
-96.0,97,12.07438
-101.0,102,12.534588
-94.0,95,12.903618
-114.0,115,13.339718
-110.0,111,13.764225
-80.0,81,14.072724
-68.0,69,14.337775
-89.0,90,14.688402
-82.0,83,15.007556
-79.0,80,15.323582
-101.0,102,15.721241
-90.0,91,18.717074
-75.0,76,19.012176
-73.0,74,19.30608
-95.0,96,19.727277
-94.0,95,20.142288
-81.0,82,20.516002
-155.0,156,21.177471
-76.0,77,21.472891
-103.0,104,21.871951
-98.0,99,22.242669
-89.0,90,22.577907
-99.0,100,22.972893
-99.0,100,23.36238
-98.0,99,23.765613
-65.0,66,24.017408
-62.0,63,24.271324
-94.0,95,24.703815
-83.0,84,27.266591
-77.0,78,27.590904
-75.0,76,27.886842
-89.0,90,28.235696
-98.0,99,28.618942
-72.0,73,28.888763
-86.0,87,29.224199
-106.0,107,29.628494
-94.0,95,29.974923
-108.0,109,30.378752
-74.0,75,30.657445
-89.0,90,30.995019
-73.0,74,31.270878
-89.0,90,31.606547
-73.0,74,31.883832
-94.0,95,32.238405
-99.0,100,32.607795
-80.0,81,32.905439
-85.0,86,35.086519
-78.0,79,35.38437
-92.0,93,35.743989
-121.0,122,36.210119
-80.0,81,36.521181
-71.0,72,36.793696
-120.0,121,37.256296
-92.0,93,37.603996
-93.0,94,37.960188
-69.0,70,38.223036
-95.0,96,38.585872
-77.0,78,38.8842
-98.0,99,39.262933
-77.0,78,39.555196
-69.0,70,39.824072
-94.0,95,40.184425
-87.0,88,40.523955
-105.0,106,42.210021
-80.0,81,42.517173
-83.0,84,42.836132
-77.0,78,43.144786
-85.0,86,43.502002
-80.0,81,43.818103
-78.0,79,44.114526
-76.0,77,44.416236
-68.0,69,44.692608
-97.0,98,45.076713
-99.0,100,45.455178
-84.0,85,45.775009
-70.0,71,46.035233
-112.0,113,46.452952
-114.0,115,46.885446
-78.0,79,47.177831
-94.0,95,47.548498
-80.0,81,47.847393
-104.0,105,49.71528
-74.0,75,49.991976
-76.0,77,50.282522
-83.0,84,50.594457
-79.0,80,50.891872
-72.0,73,51.161122
-69.0,70,51.422452
-71.0,72,51.695864
-73.0,74,51.968632
-160.0,161,52.567695
-89.0,90,52.900596
-72.0,73,53.16804
-80.0,81,53.469487
-176.0,177,54.141625
-96.0,97,54.499533
-90.0,91,54.838203
-91.0,92,55.183727
-82.0,83,56.541681
-82.0,83,56.856743
-75.0,76,57.14517
-190.0,191,57.8982
-73.0,74,58.162918
-99.0,100,58.530666
-92.0,93,58.895192
-74.0,75,59.163918
-98.0,99,59.521581
-76.0,77,59.792513
-100.0,101,60.151544
-71.0,72,60.411808
-73.0,74,60.670153
-71.0,72,60.934774
-71.0,72,61.198287
-104.0,105,61.617952
-87.0,88,61.93424
-91.0,92,63.802357
-69.0,70,64.052387
-73.0,74,64.326913
-71.0,72,64.592656
-69.0,70,64.854667
-76.0,77,65.144522
-100.0,101,65.507702
-94.0,95,65.845557
-82.0,83,66.142756
-70.0,71,66.395532
-72.0,73,66.651177
-87.0,88,66.960065
-92.0,93,67.288598
-69.0,70,67.540162
-68.0,69,67.779973
-93.0,94,68.112319
-70.0,71,68.359625
-74.0,75,68.632824
-78.0,79,68.929469
-77.0,78,69.220095
-77.0,78,70.525048
-88.0,89,70.847564
-74.0,75,71.124259
-69.0,70,71.431261
-80.0,81,71.773246
-72.0,73,72.040954
-77.0,78,72.33005
-82.0,83,72.644286
-85.0,86,72.967247
-83.0,84,73.278836
-81.0,82,73.57974
-95.0,96,73.930715
-75.0,76,74.207909
-80.0,81,74.501449
-75.0,76,74.779913
-76.0,77,75.062609
-80.0,81,75.358873
-68.0,69,75.613968
-78.0,79,75.909317
-84.0,85,77.942938
-75.0,76,78.248985
-79.0,80,78.543541
-94.0,95,78.889291
-111.0,112,79.294471
-80.0,81,79.595645
-88.0,89,79.919668
-75.0,76,80.197044
-101.0,102,80.576985
-78.0,79,80.872516
-77.0,78,81.15431
-78.0,79,81.451991
-94.0,95,81.800669
-69.0,70,82.053767
-86.0,87,82.368899
-78.0,79,82.657456
-84.0,85,82.98586
-91.0,92,83.327138
-85.0,86,83.637969
-77.0,78,85.384491
-81.0,82,85.69961
-79.0,80,85.992338
-78.0,79,86.282622
-71.0,72,86.545278
-90.0,91,86.874527
-87.0,88,87.210625
-90.0,91,87.551052
-80.0,81,87.842812
-70.0,71,88.110333
-89.0,90,88.432526
-77.0,78,88.728156
-85.0,86,89.044815
-87.0,88,89.347088
-70.0,71,89.59527
-73.0,74,89.855257
-104.0,105,90.231454
-69.0,70,90.489642
-150.0,151,92.5729
-69.0,70,92.825062
-68.0,69,93.072535
-89.0,90,93.395603
-113.0,114,93.805452
-76.0,77,94.075325
-78.0,79,94.361364
-83.0,84,94.669315
-71.0,72,94.925204
-76.0,77,95.210845
-77.0,78,95.49694
-69.0,70,95.750105
-69.0,70,96.002757
-67.0,68,96.248155
-82.0,83,96.571616
-70.0,71,96.860883
-78.0,79,97.169307
-85.0,86,97.48697
-85.0,86,97.803705
-84.0,85,98.135786
-72.0,73,99.855498
-72.0,73,100.145412
-103.0,104,100.548764
-72.0,73,100.817521
-87.0,88,101.148899
-76.0,77,101.425796
-96.0,97,101.78936
-68.0,69,102.03296
-80.0,81,102.329604
-68.0,69,102.575456
-78.0,79,102.860609
-70.0,71,103.114766
-69.0,70,103.368429
-78.0,79,103.65595
-89.0,90,103.98097
-80.0,81,104.267875
-70.0,71,104.525252
-78.0,79,104.804868
-74.0,75,105.072945
-77.0,78,106.462776
-104.0,105,106.844483
-79.0,80,107.135786
-79.0,80,107.423608
-85.0,86,107.730518
-70.0,71,107.980411
-109.0,110,108.374496
-78.0,79,108.659945
-76.0,77,108.941535
-78.0,79,109.220427
-70.0,71,109.479602
-77.0,78,109.763516
-80.0,81,110.051013
-71.0,72,110.31168
-69.0,70,110.567271
-72.0,73,110.824712
-104.0,105,111.200376
-74.0,75,111.468413
-77.0,78,111.749948
-85.0,86,112.05412
-77.0,78,115.130691
-171.0,172,115.734596
-100.0,101,116.094171
-80.0,81,116.388881
-76.0,77,116.660993
-69.0,70,116.909685
-77.0,78,117.188555
-81.0,82,117.481532
-78.0,79,117.763834
-85.0,86,118.066246
-102.0,103,118.44095
-75.0,76,118.70579
-83.0,84,119.00451
-98.0,99,119.341561
-75.0,76,119.611474
-76.0,77,119.884811
-94.0,95,120.226824
-89.0,90,121.829158
-90.0,91,122.15858
-93.0,94,122.494852
-85.0,86,122.804632
-75.0,76,123.074123
-74.0,75,123.34569
-69.0,70,123.601587
-82.0,83,123.901042
-89.0,90,124.227996
-78.0,79,124.508635
-86.0,87,124.824012
-70.0,71,125.066231
-81.0,82,125.356489
-77.0,78,125.633992
-75.0,76,125.911273
-76.0,77,126.186243
-110.0,111,126.586831
-74.0,75,126.860412
-69.0,70,127.114182
-78.0,79,131.666368
-70.0,71,131.939543
-78.0,79,132.213218
-68.0,69,132.455333
-74.0,75,132.724007
-86.0,87,133.037796
-92.0,93,133.388893
-69.0,70,133.653182
-76.0,77,133.941865
-98.0,99,134.306388
-85.0,86,134.622149
-72.0,73,134.891328
-76.0,77,135.171703
-80.0,81,135.46602
-71.0,72,135.729775
-71.0,72,135.978883
-76.0,77,136.25157
-71.0,72,136.509868
-97.0,98,136.872033
-86.0,87,137.187931
-76.0,77,139.219763
-83.0,84,139.533852
-111.0,112,139.951654
-68.0,69,140.19891
-80.0,81,140.499028
-93.0,94,140.843454
-117.0,118,141.281203
-74.0,75,141.563987
-77.0,78,141.85091
-77.0,78,142.131449
-69.0,70,142.394002
-68.0,69,142.647574
-70.0,71,142.906783
-78.0,79,143.195055
-83.0,84,143.504678
-93.0,94,143.850538
-95.0,96,144.203473
-85.0,86,144.520224
-118.0,119,146.856913
-70.0,71,147.133152
-79.0,80,147.426331
-74.0,75,147.700579
-81.0,82,147.997812
-72.0,73,148.265802
-96.0,97,148.619934
-203.0,204,149.363779
-75.0,76,149.640292
-77.0,78,149.925224
-80.0,81,150.220643
-69.0,70,150.477807
-77.0,78,150.761762
-69.0,70,151.022434
-76.0,77,151.311209
-87.0,88,151.639008
-89.0,90,151.96073
-70.0,71,152.21378
