#{"t_start": 1665251539.6455584, "env_id": "BipedalWalker-v3"}
r,l,t
-130.658176,125,3.106783
-103.05365,56,3.464479
-116.256268,91,4.019618
-124.804498,231,5.467992
-43.025448,1600,60.674554
67.908403,1600,72.651944
-112.666756,72,73.140009
-121.384537,82,73.674082
-95.058402,260,75.338386
17.039405,1183,124.475123
-136.406024,188,125.626915
-131.547114,93,126.186136
-117.031774,248,127.728715
-117.824112,60,128.095927
-44.485903,555,164.275939
-111.544729,77,164.743576
-98.898281,268,166.349775
116.219323,1600,221.158831
210.675432,1600,277.982799
226.162652,1572,331.344955
162.231324,1600,388.008457
234.418778,1518,440.019717
253.482302,1261,483.047846
-124.665188,54,483.376911
260.809918,1172,490.637249
259.848672,1209,534.289402
262.067081,1157,577.258411
260.670005,1189,620.168413
268.866311,1076,627.102823
84.089943,964,668.897417
22.902438,604,672.910782
271.851676,1039,712.47088
270.212837,1076,754.703708
269.668295,1082,800.664115
265.540818,1118,807.855212
267.314844,1092,863.453035
266.847082,1096,904.3698
265.212275,1136,911.778373
