#{"t_start": 1665122375.2726066, "env_id": "Pendulum-v1"}
r,l,t
-1659.672875,200,2.721587
-1144.108301,200,3.17279
-1108.691252,200,3.605575
-972.899313,200,4.040803
-1080.381248,200,4.475658
-1044.920576,200,4.879372
-880.938982,200,5.255765
-1154.561572,200,5.6321
-1247.449539,200,6.013865
-1051.262825,200,6.392486
-1407.842453,200,6.772898
-1233.475056,200,7.148833
-1514.52379,200,7.529506
-1007.188137,200,7.903324
-1324.134026,200,8.274033
-905.362265,200,9.58877
-1437.215292,200,9.94863
-1074.659659,200,10.395209
-1238.688347,200,10.904441
-1021.658344,200,11.390332
-938.354457,200,11.854476
-1068.320357,200,12.284176
-1217.499952,200,12.694558
-935.518808,200,13.068544
-1511.593653,200,13.445767
-546.258108,200,13.820972
-1435.750346,200,14.22614
-709.273046,200,14.599778
-996.622445,200,14.973078
-910.753261,200,15.349775
-964.944995,200,15.722656
-958.402989,200,17.055462
-1287.01342,200,17.484935
-1246.899993,200,17.943987
-807.255164,200,18.364664
-950.885242,200,18.809022
-809.437173,200,19.238392
-1514.077389,200,19.639173
-1242.741946,200,20.009103
-1505.933309,200,20.377261
-826.915735,200,20.751331
-1267.260393,200,21.12996
-1439.679547,200,21.500039
-1160.13824,200,21.871353
-670.506779,200,22.246828
-952.567899,200,22.618748
-1292.218483,200,23.914172
-697.479866,200,24.34385
-691.359215,200,24.802446
-1311.499132,200,25.240465
-1468.425671,200,25.65853
-1487.993693,200,26.10994
-998.48514,200,26.544126
-1510.622994,200,27.037325
-966.802629,200,27.425791
-675.175266,200,27.828194
-1009.282223,200,28.206903
-959.725383,200,28.581804
-1155.405719,200,28.955177
-1376.261559,200,29.327813
-1369.588497,200,29.7057
-992.038031,200,30.083864
-828.0984,200,31.394716
-870.494389,200,31.822997
-932.596397,200,32.232304
-751.188277,200,32.681749
-530.34511,200,33.108069
-797.975496,200,33.563006
-799.843782,200,33.990872
-678.748085,200,34.390077
-815.56045,200,34.76428
-1371.573911,200,35.138756
-942.505839,200,35.514448
-682.740818,200,35.891479
-549.086632,200,36.272001
-668.567778,200,36.649478
-701.841148,200,37.032479
-812.427268,200,37.410263
-307.950842,200,38.749361
-828.991495,200,39.158916
-679.089663,200,39.615844
-1123.771768,200,40.040803
-516.036216,200,40.484524
-487.713531,200,40.91274
-829.486679,200,41.319827
-812.637667,200,41.693403
-560.36182,200,42.072149
-867.821581,200,42.446258
-959.935659,200,42.820534
-1072.085078,200,43.193475
-546.417565,200,43.536768
-972.909411,200,43.882999
-784.403301,200,44.227636
-276.000453,200,45.51281
-855.788825,200,45.945404
-413.340147,200,46.368466
-888.587792,200,46.827707
-1013.847631,200,47.2385
-272.104065,200,47.677691
-413.378279,200,48.097646
-557.021132,200,48.489897
-686.64574,200,48.851339
-444.092109,200,49.212796
-5.773199,200,49.596107
-460.553306,200,49.983151
-638.142837,200,50.366825
-1005.505244,200,50.749418
-1.384967,200,51.132104
-905.065413,200,51.506606
-410.085649,200,52.856201
-139.332363,200,53.260835
-137.009478,200,53.720256
-539.826468,200,54.163267
-133.605768,200,54.611046
-140.861609,200,55.03232
-454.538686,200,55.432
-135.715729,200,55.81962
-133.0505,200,56.211185
-5.419503,200,56.603021
-394.818838,200,56.999539
-536.382061,200,57.398986
-524.647579,200,57.789902
-127.897516,200,58.174485
-407.393671,200,58.572423
-3.835831,200,58.956899
-3.196325,200,60.351464
-135.222575,200,60.732674
-663.385826,200,61.117484
-414.132375,200,61.504591
-270.431458,200,61.89153
-311.661652,200,62.27699
-436.114055,200,62.657348
-265.560588,200,63.040607
-0.93716,200,63.42213
-262.955178,200,63.803129
-2.405758,200,64.181993
-0.65133,200,64.5619
-547.014248,200,64.947721
-417.862141,200,65.330278
-531.866028,200,65.715783
-265.770625,200,67.060288
-5.105817,200,67.51929
-269.052508,200,67.96285
-273.328604,200,68.443312
-413.190324,200,68.920918
-544.782398,200,69.362335
-0.610906,200,69.765392
-137.49109,200,70.168345
-393.237458,200,70.554446
-262.460491,200,70.941399
-407.407729,200,71.322483
-130.542229,200,71.701267
-130.625162,200,72.087059
-132.831745,200,72.472031
-258.409821,200,72.855498
-247.555042,200,73.234123
-555.819003,200,74.551291
-1.558331,200,74.949351
-503.499012,200,75.403482
-262.866794,200,75.802534
-134.554042,200,76.224359
-408.155693,200,76.639014
-554.346902,200,77.042625
-544.482927,200,77.422447
-265.323348,200,77.80646
-278.814853,200,78.195462
-384.047538,200,78.579454
-137.8009,200,78.965595
-533.551073,200,79.350642
-135.401574,200,79.73607
-266.860571,200,80.123084
-264.375484,200,81.408672
-414.136641,200,81.877561
-2.610381,200,82.26222
-271.392071,200,82.638822
-524.376053,200,83.02459
-133.685942,200,83.402752
-135.361234,200,83.781419
-4.084938,200,84.16317
-266.290656,200,84.542324
-276.314676,200,84.925581
-394.919426,200,85.308313
-131.958085,200,85.690115
-267.088372,200,86.073238
-401.227659,200,86.454199
-135.297236,200,86.85561
-2.464206,200,87.243253
-136.027964,200,88.546803
-134.171476,200,89.002126
-271.980861,200,89.427023
-299.089163,200,89.870274
-132.225548,200,90.268055
-257.687659,200,90.678678
-134.024554,200,91.060749
-264.102458,200,91.454665
-0.678636,200,91.83862
-5.882692,200,92.220831
-512.556586,200,92.603817
-402.526973,200,92.988687
-280.62776,200,93.369925
-504.778992,200,93.7565
-130.151336,200,94.142676
-260.094906,200,94.524534
-256.286672,200,95.887643
-124.940996,200,96.290468
-320.379684,200,96.700243
-138.219006,200,97.095597
-131.904125,200,97.509832
-132.146833,200,97.903709
-2.200571,200,98.293566
-2.266203,200,98.681227
-131.589507,200,99.058545
-132.790105,200,99.435348
-134.195972,200,99.815575
