#{"t_start": 1665127196.7816477, "env_id": "Acrobot-v1"}
r,l,t
-500.0,500,3.500849
-184.0,185,4.10177
-209.0,210,4.751412
-154.0,155,5.217834
-95.0,96,5.534756
-115.0,116,5.883595
-139.0,140,6.299745
-87.0,88,6.562449
-94.0,95,10.725116
-211.0,212,11.38342
-103.0,104,11.735742
-123.0,124,12.130343
-89.0,90,12.427263
-140.0,141,12.890079
-156.0,157,13.378138
-134.0,135,13.782834
-98.0,99,14.084915
-94.0,95,14.372757
-179.0,180,14.914956
-88.0,89,15.186877
-212.0,213,17.260971
-90.0,91,17.544012
-81.0,82,17.809238
-79.0,80,18.09571
-108.0,109,18.452795
-81.0,82,18.721863
-74.0,75,18.978748
-62.0,63,19.188579
-124.0,125,19.580936
-75.0,76,19.824793
-200.0,201,20.432333
-79.0,80,20.674416
-97.0,98,20.97151
-92.0,93,21.251652
-82.0,83,21.504961
-106.0,107,21.83525
-83.0,84,23.565128
-77.0,78,23.803809
-87.0,88,24.06889
-70.0,71,24.285778
-90.0,91,24.567421
-76.0,77,24.797431
-91.0,92,25.07433
-88.0,89,25.347378
-89.0,90,25.619613
-71.0,72,25.840089
-78.0,79,26.075955
-70.0,71,26.295046
-82.0,83,26.540938
-91.0,92,26.827586
-81.0,82,27.078673
-69.0,70,27.294552
-89.0,90,27.5693
-84.0,85,27.826922
-76.0,77,28.058635
-69.0,70,29.583811
-82.0,83,29.834562
-82.0,83,30.085986
-77.0,78,30.326454
-86.0,87,30.605934
-67.0,68,30.826758
-109.0,110,31.149415
-63.0,64,31.339692
-79.0,80,31.595547
-90.0,91,31.895834
-73.0,74,32.130322
-86.0,87,32.403765
-90.0,91,32.676013
-80.0,81,32.904511
-77.0,78,33.121164
-96.0,97,33.416908
-73.0,74,33.641739
-84.0,85,33.899363
-80.0,81,34.143262
-92.0,93,35.84708
-79.0,80,36.089759
-79.0,80,36.353844
-87.0,88,36.659649
-82.0,83,36.941062
-274.0,275,37.906751
-80.0,81,38.174943
-91.0,92,38.476878
-96.0,97,38.774163
-79.0,80,39.018417
-102.0,103,39.332324
-75.0,76,39.570673
-79.0,80,39.815021
-91.0,92,40.096663
-86.0,87,40.364192
-77.0,78,40.603326
-106.0,107,42.15571
-72.0,73,42.367947
-76.0,77,42.597455
-217.0,218,43.255381
-73.0,74,43.478721
-78.0,79,43.714814
-75.0,76,43.947836
-94.0,95,44.234252
-70.0,71,44.450859
-84.0,85,44.70749
-78.0,79,44.946229
-89.0,90,45.219121
-160.0,161,45.703737
-69.0,70,45.915464
-77.0,78,46.147668
-92.0,93,46.426373
-68.0,69,47.684021
-82.0,83,47.931877
-85.0,86,48.19211
-87.0,88,48.456416
-71.0,72,48.680116
-92.0,93,48.959269
-79.0,80,49.201374
-75.0,76,49.431825
-71.0,72,49.65153
-77.0,78,49.881585
-83.0,84,50.135276
-69.0,70,50.348317
-79.0,80,50.591369
-158.0,159,51.070748
-75.0,76,51.298312
-122.0,123,51.671446
-83.0,84,51.923881
-98.0,99,52.222757
-86.0,87,53.840916
-90.0,91,54.096408
-83.0,84,54.334164
-178.0,179,54.837938
-80.0,81,55.065258
-76.0,77,55.282604
-68.0,69,55.477169
-76.0,77,55.691745
-111.0,112,56.007831
-80.0,81,56.236077
-119.0,120,56.57516
-73.0,74,56.783317
-101.0,102,57.067904
-72.0,73,57.274315
-76.0,77,57.495072
-77.0,78,57.719606
-76.0,77,57.936229
-75.0,76,59.586122
-75.0,76,59.802062
-89.0,90,60.054781
-73.0,74,60.262543
-94.0,95,60.535071
-76.0,77,60.771904
-78.0,79,61.031037
-78.0,79,61.298415
-69.0,70,61.538182
-68.0,69,61.772647
-78.0,79,62.04586
-97.0,98,62.395871
-77.0,78,62.666273
-88.0,89,62.969488
-80.0,81,63.216032
-86.0,87,63.482069
-75.0,76,63.707668
-84.0,85,63.964385
-69.0,70,64.185619
-78.0,79,64.424154
-83.0,84,65.895608
-74.0,75,66.123291
-80.0,81,66.370835
-86.0,87,66.633563
-93.0,94,66.919957
-76.0,77,67.151904
-74.0,75,67.378275
-98.0,99,67.681598
-167.0,168,68.197102
-82.0,83,68.444435
-80.0,81,68.686255
-87.0,88,68.95201
-77.0,78,69.194104
-70.0,71,69.407028
-93.0,94,69.688243
-76.0,77,69.920805
-71.0,72,70.135539
-81.0,82,70.385838
-85.0,86,71.543947
-74.0,75,71.771491
-83.0,84,72.026048
-90.0,91,72.30253
-70.0,71,72.518848
-70.0,71,72.738813
-77.0,78,72.978
-79.0,80,73.219176
-78.0,79,73.459471
-69.0,70,73.671288
-70.0,71,73.886738
-108.0,109,74.216222
-79.0,80,74.456812
-77.0,78,74.689345
-85.0,86,74.95019
-76.0,77,75.17804
-97.0,98,75.477605
-97.0,98,75.769359
-89.0,90,76.039974
-87.0,88,77.246579
-78.0,79,77.486086
-72.0,73,77.706803
-76.0,77,77.947326
-82.0,83,78.196596
-93.0,94,78.479359
-70.0,71,78.690964
-73.0,74,78.916235
-107.0,108,79.25055
-79.0,80,79.493979
-82.0,83,79.743737
-172.0,173,80.265674
-80.0,81,80.509499
-90.0,91,80.782115
-90.0,91,81.056339
-70.0,71,81.275433
-72.0,73,81.492504
-83.0,84,83.222991
-81.0,82,83.470345
-69.0,70,83.681494
-72.0,73,83.906677
-76.0,77,84.142704
-93.0,94,84.426217
-84.0,85,84.680545
-69.0,70,84.894504
-69.0,70,85.105381
