#{"t_start": 1665186179.5418475, "env_id": "BipedalWalker-v3"}
r,l,t
-107.316393,74,2.637889
-108.401022,68,3.061539
-103.148144,85,3.581318
-107.376805,48,3.89939
-113.153937,125,4.71309
-106.96651,47,5.009294
-112.730935,111,5.695671
-107.797721,47,6.004857
-106.474959,78,6.49315
-125.214768,136,7.332883
-126.870531,125,8.064007
-111.552167,176,9.106748
-137.408525,238,10.503109
-124.985284,184,11.580787
-126.146255,247,55.653721
-139.039525,172,56.674483
-127.378204,158,57.611084
-109.551034,206,58.834917
-136.909768,406,61.286008
-117.652288,181,62.361455
-138.485823,375,107.399188
-112.058834,138,108.191255
-117.095613,220,109.514958
-126.137204,137,110.482842
-101.218012,157,111.430542
-116.711099,189,112.555434
-103.551675,156,113.487097
-106.511375,163,114.460645
-132.948416,602,160.094019
-108.996827,72,160.631432
-195.748791,1069,167.267645
-105.663211,268,212.084428
-109.714253,185,213.204541
-108.700883,204,214.442426
-107.892488,132,215.23987
-106.071949,80,215.730825
-114.795582,1600,267.960382
-108.341311,152,268.899966
-67.951454,1600,321.5803
-64.952263,1600,374.606784
-39.761082,1600,427.295821
-103.447676,99,427.888729
-69.736355,1600,480.802712
-55.491781,1600,533.207856
-40.70755,1600,585.860569
-46.036745,1600,639.005014
-46.676573,1600,691.763395
-62.14034,1600,743.961462
-30.411784,1600,796.176451
-27.12491,1600,848.367749
-32.095569,1600,900.200282
-26.845946,1600,995.247556
