#{"t_start": 1665138380.4011931, "env_id": "Acrobot-v1"}
r,l,t
-500.0,500,3.542402
-241.0,242,4.360022
-160.0,161,4.863973
-111.0,112,5.198635
-123.0,124,5.572674
-102.0,103,5.884684
-102.0,103,6.192044
-398.0,399,9.427675
-87.0,88,9.693867
-98.0,99,9.995777
-104.0,105,10.353713
-81.0,82,10.632856
-141.0,142,11.100456
-98.0,99,11.439145
-105.0,106,11.793502
-136.0,137,12.24724
-116.0,117,12.607999
-94.0,95,12.896979
-80.0,81,13.141816
-84.0,85,13.397695
-91.0,92,13.680856
-137.0,138,17.976056
-100.0,101,18.284357
-81.0,82,18.530113
-102.0,103,18.842582
-92.0,93,19.121704
-83.0,84,19.376192
-101.0,102,19.681613
-81.0,82,19.932913
-69.0,70,20.145486
-95.0,96,20.437661
-96.0,97,20.729275
-81.0,82,20.979962
-96.0,97,21.270524
-94.0,95,21.559545
-89.0,90,21.830124
-84.0,85,22.089553
-87.0,88,22.354777
-82.0,83,24.307947
-81.0,82,24.558246
-78.0,79,24.798539
-202.0,203,25.413148
-89.0,90,25.684772
-98.0,99,25.983719
-88.0,89,26.254716
-70.0,71,26.467766
-75.0,76,26.705953
-105.0,106,27.023792
-261.0,262,27.818114
-96.0,97,28.110345
-96.0,97,28.407095
-82.0,83,28.655073
-93.0,94,31.362911
-88.0,89,31.63265
-60.0,61,31.817316
-84.0,85,32.077384
-86.0,87,32.344474
-74.0,75,32.589012
-87.0,88,32.884957
-76.0,77,33.154887
-75.0,76,33.427372
-69.0,70,33.677104
-107.0,108,34.042429
-74.0,75,34.303942
-75.0,76,34.554058
-83.0,84,34.837402
-91.0,92,35.133104
-104.0,105,35.457972
-79.0,80,35.704465
-63.0,64,35.893664
-80.0,81,36.140414
-70.0,71,37.690629
-96.0,97,37.984623
-91.0,92,38.274498
-77.0,78,38.518544
-77.0,78,38.774524
-81.0,82,39.044274
-76.0,77,39.299808
-93.0,94,39.601529
-71.0,72,39.844148
-63.0,64,40.060249
-82.0,83,40.330021
-69.0,70,40.568334
-93.0,94,40.865119
-71.0,72,41.082299
-98.0,99,41.381437
-107.0,108,41.722096
-109.0,110,42.067598
-78.0,79,42.307524
-99.0,100,42.61449
-94.0,95,44.593029
-98.0,99,44.891426
-88.0,89,45.158883
-75.0,76,45.394883
-242.0,243,46.140886
-82.0,83,46.393876
-64.0,65,46.590696
-88.0,89,46.856392
-71.0,72,47.077638
-83.0,84,47.332785
-69.0,70,47.543322
-89.0,90,47.815706
-72.0,73,48.032856
-74.0,75,48.259827
-87.0,88,48.52615
-75.0,76,48.755764
-70.0,71,48.968435
-97.0,98,50.139087
-101.0,102,50.449747
-94.0,95,50.753288
-72.0,73,51.001512
-185.0,186,51.626219
-80.0,81,51.906616
-144.0,145,52.39884
-78.0,79,52.665114
-76.0,77,52.904356
-73.0,74,53.13749
-84.0,85,53.396832
-85.0,86,53.657462
-70.0,71,53.874567
-92.0,93,54.153354
-72.0,73,54.374685
-73.0,74,54.597983
-184.0,185,56.284185
-76.0,77,56.515396
-71.0,72,56.72938
-100.0,101,57.04186
-83.0,84,57.291425
-188.0,189,57.863579
-79.0,80,58.104852
-72.0,73,58.333123
-62.0,63,58.53818
-78.0,79,58.781877
-78.0,79,59.017654
-86.0,87,59.279347
-78.0,79,59.520239
-80.0,81,59.766845
-69.0,70,59.976009
-84.0,85,60.234418
-83.0,84,60.491015
-91.0,92,60.772639
-73.0,74,62.097347
-73.0,74,62.318554
-85.0,86,62.576406
-70.0,71,62.795227
-102.0,103,63.103642
-68.0,69,63.31925
-70.0,71,63.537157
-83.0,84,63.793034
-92.0,93,64.076147
-92.0,93,64.353449
-75.0,76,64.582064
-112.0,113,64.924197
-96.0,97,65.215298
-69.0,70,65.426643
-69.0,70,65.641457
-79.0,80,65.884459
-77.0,78,66.121644
-91.0,92,66.399314
-59.0,60,66.580681
-79.0,80,68.126459
-74.0,75,68.357111
-86.0,87,68.62301
-83.0,84,68.884736
-69.0,70,69.094904
-107.0,108,69.418073
-83.0,84,69.672226
-83.0,84,69.925953
-86.0,87,70.187265
-80.0,81,70.429893
-82.0,83,70.683336
-78.0,79,70.919923
-101.0,102,71.225346
-128.0,129,71.62019
-91.0,92,71.897326
-80.0,81,72.146995
-70.0,71,72.351735
-80.0,81,72.584291
-85.0,86,73.792317
-76.0,77,74.013849
-105.0,106,74.330363
-70.0,71,74.561661
-99.0,100,74.894866
-75.0,76,75.141083
-71.0,72,75.376497
-80.0,81,75.638412
-70.0,71,75.878352
-89.0,90,76.177461
-83.0,84,76.456762
-87.0,88,76.732558
-95.0,96,77.027262
-93.0,94,77.308444
-135.0,136,77.725308
-76.0,77,77.955755
-127.0,128,78.34703
-68.0,69,80.031041
-86.0,87,80.29765
-67.0,68,80.500495
-81.0,82,80.753725
-70.0,71,80.967969
-68.0,69,81.176387
-71.0,72,81.390259
-71.0,72,81.61233
-88.0,89,81.875327
-69.0,70,82.090556
-92.0,93,82.373179
-77.0,78,82.609522
-85.0,86,82.867724
-70.0,71,83.082728
-69.0,70,83.295152
-92.0,93,83.582297
-69.0,70,83.79375
-91.0,92,84.068637
-68.0,69,84.276416
-71.0,72,84.490535
-76.0,77,85.99394
-80.0,81,86.236623
-82.0,83,86.484496
-68.0,69,86.693574
-90.0,91,86.970007
-159.0,160,87.452269
-82.0,83,87.704197
-85.0,86,87.965838
-78.0,79,88.20194
-77.0,78,88.422982
-81.0,82,88.651901
-90.0,91,88.908067
-70.0,71,89.106969
-90.0,91,89.366287
-77.0,78,89.585741
-76.0,77,89.813117
-81.0,82,90.055815
-71.0,72,90.260166
-77.0,78,90.48172
-80.0,81,93.651302
-76.0,77,93.871916
-91.0,92,94.128889
-76.0,77,94.344179
-75.0,76,94.560452
-85.0,86,94.801377
-92.0,93,95.06768
-68.0,69,95.265736
-77.0,78,95.48975
-86.0,87,95.733407
-88.0,89,95.984447
-72.0,73,96.191385
-131.0,132,96.560987
-75.0,76,96.775637
-152.0,153,97.209766
-76.0,77,97.425671
-72.0,73,97.632376
-134.0,135,99.404823
-113.0,114,99.748167
-87.0,88,100.018351
-85.0,86,100.280105
-70.0,71,100.49899
-78.0,79,100.733899
-81.0,82,100.983144
-91.0,92,101.260713
-73.0,74,101.482072
