#{"t_start": 1665148030.7513127, "env_id": "LunarLanderContinuous-v2"}
r,l,t
-222.506272,132,2.516612
-335.926474,123,3.137475
-407.061027,100,3.578435
-463.91605,93,4.093556
-361.469232,135,4.776961
-437.791367,131,5.383474
-383.824769,103,5.911637
-529.316535,72,6.201906
-580.327024,115,6.767096
-255.059557,119,7.263691
-362.105255,97,7.589781
-62.529175,134,8.145569
-141.154027,80,8.399288
34.988768,99,8.800875
-155.584633,90,9.129632
-85.313111,69,9.337423
-105.064091,74,9.52894
-95.7106,60,9.698349
-95.371034,70,9.880776
-10.998818,117,10.20024
-168.071919,141,10.586439
-123.314759,97,10.860511
-48.970783,72,11.084882
-152.874107,87,11.381368
-54.425249,96,11.658772
-180.836023,84,11.887636
-98.747731,78,12.115862
-341.043503,88,12.40742
-249.273105,111,12.802301
-243.448421,125,13.323829
-221.978131,845,21.45987
-279.003785,137,22.118326
-317.11541,131,22.670966
-34.707674,132,23.290345
-188.987362,325,26.564637
-207.096033,152,28.032401
-293.003236,133,28.677262
-166.920917,285,31.757942
-170.530999,598,41.763321
-302.96483,439,54.027548
-94.718506,1000,514.377041
-163.886963,487,521.605819
-195.322261,658,531.716627
-33.155797,1000,556.339328
-73.721046,1000,583.876044
-22.780142,1000,609.648925
-2.456075,1000,637.013623
-107.289337,1000,1278.513514
16.228468,1000,1305.223174
-6.978858,1000,1332.187729
-88.018171,308,1340.023282
-34.411242,1000,1365.724511
-34.688194,1000,1389.966008
-25.335384,1000,1413.518705
