#{"t_start": 1665633284.477212, "env_id": "LunarLanderContinuous-v2"}
r,l,t
-135.016558,35,2.04843
-41.273897,411,5.870325
-4.468638,126,7.357474
-145.802051,38,7.599671
-76.091328,99,7.943484
-130.524767,95,8.235321
-79.951215,92,8.539402
-80.218546,76,8.864431
-45.648366,118,9.38747
-114.47695,38,9.529519
-41.11816,117,10.069016
-91.378114,117,10.757713
-110.7832,35,11.003239
-118.616142,39,11.311274
-14.834095,202,13.486382
-20.878343,112,14.550709
-24.873519,157,16.475412
24.203412,130,18.440618
-31.998313,153,21.010574
9.718224,251,24.433101
-15.596621,193,27.182137
38.992784,140,29.070989
6.623564,335,34.374172
-108.891732,44,34.649246
-16.39914,357,38.703252
-113.991407,47,38.995694
45.7075,140,40.345172
222.343256,434,45.819519
8.791402,322,49.466932
51.631831,207,51.757429
-144.415964,37,52.185707
22.476619,280,55.72532
59.020693,167,57.693894
182.122985,341,61.546859
251.821189,444,66.573123
241.324616,468,453.236407
190.724369,654,462.326411
186.161819,521,468.904256
230.736243,312,472.683194
-122.759937,81,473.649031
-114.770052,42,474.049541
279.323348,411,479.341814
-138.916551,533,487.600452
-94.440283,179,489.073238
-118.010679,33,489.32737
270.781504,379,492.453389
-112.529896,54,492.850899
-128.184792,65,493.454454
-112.967384,44,493.868541
-94.197179,379,497.480263
-127.923643,116,498.652041
-122.382525,118,499.909555
-76.315148,70,500.647964
-99.239742,39,501.05576
27.583251,230,503.106467
272.969587,321,505.821775
-92.237015,43,506.206838
-86.691909,138,507.33143
219.842177,410,511.951037
-64.904191,264,514.710896
-90.906604,146,515.896204
-92.733818,35,516.15313
-133.655713,373,521.901061
-49.540114,1000,852.903861
159.68239,913,876.893922
-18.932341,1000,901.126037
-88.126367,70,902.833842
-97.558172,57,904.04798
163.135538,533,913.889946
181.481126,691,929.322354
-105.393378,45,929.971666
184.473169,485,940.789987
-83.614094,1000,961.513191
-104.004048,1000,1463.508742
196.948247,621,1477.134156
-108.14002,33,1477.468196
-64.288267,1000,1500.554354
-126.060402,198,1503.915959
15.256824,1000,1523.625689
-107.124847,40,1524.346967
240.213502,480,1537.22885
19.057937,187,1538.418107
267.351392,442,1544.04507
-109.155432,85,1545.45271
178.968063,459,1553.043962
244.868836,685,1563.260164
237.594016,333,1567.060262
121.081375,433,1755.523222
-98.360881,86,1756.367321
255.052573,391,1763.943882
-115.012026,57,1764.957947
166.205083,695,1775.503637
-85.596329,96,1777.157159
175.75996,753,1792.674647
-32.283319,268,1796.114565
-102.30369,99,1797.811402
205.382717,732,1810.671182
-73.47292,614,1822.161105
-96.954334,57,1823.349099
-108.180754,35,1824.135028
147.727966,698,1840.266707
-112.618444,58,1841.433091
114.777623,792,1857.78249
-175.01812,858,2222.216561
-137.411823,570,2231.856856
-229.818779,934,2248.290479
-81.500316,327,2252.866276
-112.757999,139,2254.970201
-133.125355,705,2270.5593
-110.696292,45,2271.231536
-114.183493,61,2272.27386
-186.915475,779,2288.761004
-100.654368,262,2293.635205
-116.645339,62,2294.468749
-114.147637,39,2295.068253
-115.201551,36,2295.672917
150.445327,592,2305.773935
-123.074117,43,2306.296289
-101.569508,43,2306.892177
-103.241265,85,2308.185123
-109.264031,47,2308.629851
-110.133702,75,2309.371792
-139.339314,175,2311.075926
-127.965484,51,2311.490089
-114.903133,40,2311.873811
-130.254539,71,2312.729118
-57.041634,1000,2751.691492
-109.569634,1000,2781.372941
-99.97738,162,2784.521732
-127.232179,51,2785.62314
12.20405,1000,2811.416209
-87.258336,295,2817.085717
163.452464,501,2824.457336
-29.48146,1000,2853.034165
-33.166282,430,2862.143137
-100.600184,60,2863.838337
-116.976481,37,2864.954907
-52.902213,1000,2892.441819
-101.916375,53,2893.878899
-189.640861,858,3467.387244
-91.034948,110,3469.828373
-120.984362,526,3484.051987
-54.373275,1000,3509.691638
-12.183223,1000,3535.428284
-106.800676,55,3536.629209
-100.905594,1000,3559.055992
-93.905299,168,3564.178207
-31.904717,1000,3587.554315
-100.784912,1000,3612.5964
-73.83518,1000,4184.353562
-56.421358,299,4191.355587
-75.342606,1000,4215.129777
-217.985677,815,4235.228007
-55.239559,1000,4259.49542
-100.109701,90,4261.316041
-190.557254,893,4286.825754
-66.449276,1000,4311.696786
-106.126665,52,4312.975811
-91.043218,346,4739.567034
-140.398249,551,4751.819745
-104.09825,42,4752.713732
-123.08661,459,4762.040045
-89.053313,1000,4784.039455
-100.116121,84,4786.491131
-85.007573,1000,4811.57385
-114.242268,49,4812.906108
-99.003059,76,4815.146133
-73.837461,385,4821.972085
-75.782079,1000,4852.859816
-94.990008,63,4853.300389
-116.460311,49,4853.749821
-106.891107,190,4856.695555
-62.990931,1000,4883.763108
-143.450242,815,5307.115895
-106.66142,1000,5326.940189
-90.414245,1000,5351.061059
-92.582027,95,5353.891805
-165.515996,704,5366.759822
-84.731122,54,5367.40146
-37.044769,1000,5395.60018
-112.199728,138,5397.867086
-117.845731,531,5409.560338
-92.185658,301,5412.819791
-99.519694,69,5413.640708
-70.915899,73,5414.510006
-114.171713,599,5857.330866
-93.606138,42,5858.155296
-100.715056,424,5863.915079
-60.251568,51,5864.329733
-116.476378,418,5871.689948
-99.007552,339,5880.650481
-33.936929,1000,5903.52197
-68.667634,96,5905.229732
-175.179094,834,5923.527835
-62.945319,386,5931.622072
-81.502618,66,5933.144508
-92.59116,55,5934.533925
-81.41478,1000,5959.438792
-20.637492,1000,5988.044569
-22.720605,1000,6514.526179
-84.50937,58,6515.592808
-57.328156,1000,6539.059628
-4.366398,1000,6564.530284
-77.161486,338,6571.754768
-4.470541,1000,6598.780522
-112.552393,1000,6624.649879
164.94246,688,6638.729579
-82.251249,1000,7004.034096
-26.422577,327,7008.796419
241.742472,666,7018.28107
-72.87523,220,7020.671448
-88.109263,306,7027.067714
180.742116,803,7044.678114
194.078717,575,7052.402342
-109.717911,60,7053.01298
-97.821025,222,7055.846778
-111.204939,488,7066.443546
-96.746134,73,7067.67434
-72.193616,268,7070.042212
29.563659,1000,7089.695743
212.54781,714,7102.644488
-99.616176,38,7102.955373
136.971345,618,7259.105979
-120.030231,508,7270.152447
-23.132143,335,7276.808213
-93.837271,382,7283.312025
185.998919,935,7299.975608
-99.393338,64,7300.770352
-103.037737,54,7301.340615
-77.870975,44,7301.57479
-103.955236,43,7301.810083
-0.216986,210,7304.127369
-89.515115,91,7305.396512
150.825215,626,7317.689898
274.945647,580,7325.449428
210.148912,547,7334.662117
263.739474,625,7341.512622
-78.02648,103,7342.650074
-1.886307,195,7344.397101
174.040452,744,7555.701945
-7.962643,234,7559.131144
300.47483,751,7570.387157
-98.947007,42,7570.787954
-4.493812,192,7573.197928
209.898828,689,7586.662683
186.101344,449,7592.539278
-22.244253,437,7599.429129
221.593823,347,7609.62014
-113.54393,542,7620.446281
-90.959188,370,7624.777585
-81.054072,238,7629.710711
17.87879,255,7632.24283
-100.041457,38,7632.456199
-69.988013,92,7633.175691
-73.342192,203,7635.995232
207.891161,512,7645.212429
-91.614976,103,7646.023116
194.108664,665,7958.316939
-14.677699,219,7960.014294
-104.56281,34,7960.277026
-56.908709,322,7965.613088
207.752159,543,7975.400079
-26.633803,281,7980.363835
-88.441434,74,7981.680659
-98.590396,70,7982.945065
127.628162,1000,8000.268495
-94.174712,64,8001.00542
233.309715,504,8006.62409
202.288701,505,8013.528578
-103.711233,445,8020.565207
-93.024161,80,8021.682154
233.910977,539,8028.551754
-65.498961,234,8030.626406
187.05613,433,8036.947685
-88.280432,43,8037.707429
-11.204146,423,8043.496586
-62.582508,280,8237.940334
-101.920778,35,8238.410162
129.953846,1000,8257.707204
9.289967,266,8260.624331
-82.385877,59,8261.356532
-89.203062,33,8261.78907
-104.648853,46,8262.465371
-99.316641,59,8263.480314
203.205388,434,8268.157642
-63.316361,119,8269.799634
232.786906,488,8276.281266
-44.563859,345,8280.002371
-30.233927,273,8283.217216
-95.629008,50,8283.901925
-12.535288,191,8285.517144
-94.463718,103,8286.541937
274.448408,423,8290.733223
128.355188,1000,8303.80297
-76.310891,241,8306.94285
234.776728,327,8310.718647
128.399285,1000,8419.55229
297.787625,437,8423.334255
-50.424988,200,8425.364074
-55.915401,227,8426.956384
185.459291,424,8431.995009
-95.533825,31,8432.320819
208.029579,448,8440.222666
-73.271194,284,8443.019212
154.1379,410,8449.49164
93.365286,1000,8465.892352
71.385795,798,8482.032559
-91.512706,57,8482.983503
-84.665637,87,8483.985803
220.06168,344,8486.814703
-104.623707,40,8487.086864
-109.945066,34,8487.372519
-62.096126,282,8491.285485
223.835616,371,8497.569438
203.655692,568,8803.917413
-76.687227,50,8804.154416
-57.954844,113,8805.235057
269.336726,363,8810.609899
-75.608104,50,8811.36037
212.015557,404,8818.742397
210.55254,321,8823.186154
264.953851,306,8828.189568
-105.497287,47,8828.442146
-101.689825,35,8828.69978
283.543667,247,8831.778793
-106.072969,35,8832.304517
275.918133,262,8835.349707
-57.843256,150,8837.362477
-88.168914,45,8838.070255
28.692744,129,8840.487983
-106.230397,42,8841.123437
319.892915,474,8848.499542
285.843548,330,8852.169296
267.372335,532,8858.585547
190.815118,774,8874.392281
64.096083,153,8877.667953
23.343349,123,8879.349155
-82.112441,478,8889.039007
268.765494,428,8894.203855
-63.539467,245,8898.17797
-50.430728,297,9230.534546
