#{"t_start": 1665222043.2084641, "env_id": "BipedalWalker-v3"}
r,l,t
-116.671566,72,2.921599
-102.286953,89,3.51356
-53.360756,1600,15.956561
-111.485541,96,16.576561
-105.133353,59,16.991674
-106.268612,57,17.353196
-106.287049,64,17.776415
-93.010724,119,18.514784
-108.534439,47,18.829322
-105.850576,50,19.142312
-104.020756,103,19.803614
-98.007057,94,20.397424
-94.213861,115,21.116042
-111.001171,254,22.647596
-105.545767,138,23.487073
-100.073816,77,23.960913
-109.294702,251,66.584317
-121.26662,92,67.209447
-120.772496,84,67.796066
-125.966564,158,68.90123
-116.00795,221,70.304402
-110.832363,43,70.606759
-108.585173,82,71.117138
-119.993894,79,71.627678
-109.872648,98,72.243793
-111.415147,120,72.996493
-127.309198,112,73.689699
-110.769548,110,74.381487
-108.374899,71,74.818341
-108.555849,101,75.438848
-114.793617,238,80.854961
-123.833506,106,81.516829
-109.302912,58,81.880641
-113.883332,228,83.295875
-109.057728,103,83.939975
-110.057694,153,84.878947
-107.15679,135,85.710537
-106.573886,120,86.438865
-120.206229,145,87.282159
-148.443394,706,132.483183
-101.653638,76,132.979574
-115.478776,1600,183.919519
-82.476732,1600,235.055793
-88.173497,1600,285.848756
-65.048169,1600,336.40511
-63.6396,1600,387.138091
-36.282943,1600,438.681112
29.825889,1600,490.449538
-101.620369,144,491.308044
56.30848,1600,543.447653
201.658749,1600,597.102067
-45.195042,490,600.058284
92.186804,1300,652.999486
248.488867,1600,707.844675
262.815014,1356,761.063469
-46.849277,393,763.463238
27.398264,687,806.393097
-61.222391,348,808.498448
-108.669734,50,808.803618
259.304859,1368,862.536366
-109.922261,36,862.754137
264.637973,1309,907.433836
