#{"t_start": 1665132678.5248759, "env_id": "Acrobot-v1"}
r,l,t
-500.0,500,3.640937
-252.0,253,4.430351
-86.0,87,4.697622
-151.0,152,5.17106
-119.0,120,5.543164
-117.0,118,5.909819
-127.0,128,6.305985
-109.0,110,6.648499
-96.0,97,8.662121
-119.0,120,9.033414
-167.0,168,9.577833
-122.0,123,9.972556
-90.0,91,10.266183
-105.0,106,10.607491
-98.0,99,10.929697
-98.0,99,11.249619
-105.0,106,11.589591
-80.0,81,11.844879
-157.0,158,12.333642
-83.0,84,12.587033
-96.0,97,12.888579
-115.0,116,13.246071
-90.0,91,13.525825
-83.0,84,15.133769
-95.0,96,15.429109
-74.0,75,15.661968
-71.0,72,15.902375
-72.0,73,16.144945
-85.0,86,16.437012
-100.0,101,16.775786
-87.0,88,17.071076
-74.0,75,17.315292
-79.0,80,17.574426
-87.0,88,17.868802
-133.0,134,18.284232
-94.0,95,18.580076
-112.0,113,18.930934
-72.0,73,19.158954
-92.0,93,19.455642
-88.0,89,19.735743
-78.0,79,21.677533
-91.0,92,21.959329
-82.0,83,22.225439
-78.0,79,22.485629
-290.0,291,23.489104
-88.0,89,23.812932
-79.0,80,24.085256
-93.0,94,24.406916
-70.0,71,24.629571
-91.0,92,24.914749
-79.0,80,25.161986
-83.0,84,25.423366
-82.0,83,25.682316
-73.0,74,25.90651
-86.0,87,26.181265
-69.0,70,26.397224
-148.0,149,28.661628
-104.0,105,28.991044
-89.0,90,29.26861
-79.0,80,29.517853
-88.0,89,29.790301
-79.0,80,30.038665
-73.0,74,30.268513
-83.0,84,30.546062
-80.0,81,30.797253
-78.0,79,31.045637
-98.0,99,31.354831
-94.0,95,31.649541
-150.0,151,32.118727
-95.0,96,32.418531
-81.0,82,32.676168
-69.0,70,32.893812
-77.0,78,33.130098
-97.0,98,35.070325
-81.0,82,35.324364
-77.0,78,35.572554
-82.0,83,35.837866
-94.0,95,36.164207
-97.0,98,36.49447
-70.0,71,36.727616
-75.0,76,36.983394
-78.0,79,37.269108
-79.0,80,37.548601
-77.0,78,37.821824
-204.0,205,38.461776
-89.0,90,38.745161
-71.0,72,38.970622
-76.0,77,39.212687
-70.0,71,39.43526
-84.0,85,39.700699
-77.0,78,39.937888
-82.0,83,41.824485
-87.0,88,42.086854
-93.0,94,42.352352
-85.0,86,42.608243
-93.0,94,42.891954
-81.0,82,43.146138
-133.0,134,43.567166
-140.0,141,44.006098
-89.0,90,44.28117
-89.0,90,44.553533
-69.0,70,44.769701
-68.0,69,44.979153
-82.0,83,45.229407
-80.0,81,45.486668
-79.0,80,45.732436
-92.0,93,46.017473
-85.0,86,46.280999
-78.0,79,47.794884
-68.0,69,48.002886
-75.0,76,48.233858
-78.0,79,48.500185
-73.0,74,48.765791
-91.0,92,49.080093
-79.0,80,49.35719
-85.0,86,49.658232
-70.0,71,49.907541
-87.0,88,50.186079
-76.0,77,50.424642
-81.0,82,50.679171
-75.0,76,50.90995
-78.0,79,51.153205
-85.0,86,51.41594
-71.0,72,51.635128
-77.0,78,51.875898
-85.0,86,52.136354
-79.0,80,52.382066
-133.0,134,55.091823
-77.0,78,55.333136
-83.0,84,55.58549
-92.0,93,55.875702
-72.0,73,56.103634
-71.0,72,56.321619
-68.0,69,56.534136
-87.0,88,56.801974
-80.0,81,57.051659
-75.0,76,57.284453
-79.0,80,57.529343
-85.0,86,57.79445
-87.0,88,58.064634
-93.0,94,58.349854
-77.0,78,58.593163
-71.0,72,58.812778
-83.0,84,59.068439
