#{"t_start": 1665249822.851801, "env_id": "BipedalWalker-v3"}
r,l,t
-172.590277,763,7.084477
-116.547672,69,7.529158
-107.383513,76,8.010654
-125.282598,121,8.778174
-135.878616,269,10.452818
-126.00701,138,11.307345
-127.857719,569,20.23267
-111.152523,64,20.657152
-105.708991,75,21.146085
-120.473354,98,21.780951
-112.537349,70,22.255105
-106.537527,115,23.072952
-115.843992,81,23.642402
-114.921934,74,24.140807
-115.100475,82,24.689876
-107.850878,107,25.400027
-107.109238,92,26.004753
-117.773277,122,26.806308
-111.235441,66,27.224136
-109.366733,66,27.643735
-101.659124,119,31.125725
-112.885757,114,31.886811
-112.567727,77,32.407931
-109.411566,104,33.133482
-107.287846,58,33.533979
-106.698267,151,34.553019
-110.117608,62,34.956472
-103.53588,122,35.736948
-108.880467,63,36.147271
-119.727148,113,36.879868
-106.781569,52,37.201426
-114.11556,53,37.54359
-110.829982,43,37.839918
-116.843854,82,38.374325
-113.05659,52,38.71512
-106.862341,141,39.592194
-102.685678,307,44.574609
-119.304247,105,45.231659
-106.623181,91,45.806434
-105.399072,114,46.534303
-117.680141,87,47.084249
-103.600107,146,48.020441
-109.523356,63,48.439294
-93.831027,152,49.437791
-109.486054,42,49.707846
-98.017172,179,50.853421
-108.568164,64,51.262337
-95.67682,161,52.28079
-100.392862,142,53.164258
-89.072766,228,68.033503
-128.862734,164,69.125359
-82.768159,201,70.488444
-127.180854,177,71.627902
-97.611554,123,72.407352
-109.021089,45,72.687981
-107.958626,62,73.080265
-99.390419,109,73.797929
-95.261342,116,74.566973
-110.250382,50,74.886936
-94.871726,188,76.105065
-82.674913,268,95.610881
-84.837039,217,97.03423
-108.244086,246,98.725383
-89.137374,161,99.832562
-101.910388,101,100.483205
-108.057456,55,100.857668
-93.600933,344,103.093052
-99.179197,159,104.102214
-88.313918,153,105.061999
-94.263117,140,120.430238
-119.868383,91,120.985633
-98.852812,113,121.708369
-97.206451,266,123.361923
-105.039746,233,124.951217
-103.179081,164,126.004549
-104.710683,142,126.879152
-96.028257,189,128.050036
-100.761864,138,128.895062
-119.012886,91,129.479476
-95.643222,213,152.30102
-100.554775,163,153.440085
-101.727567,174,154.583671
-100.177853,144,155.476337
-117.791606,106,156.151886
-94.034666,112,156.881377
-99.203632,164,157.956671
-123.201979,118,158.733104
-94.733808,350,160.991251
-110.748233,196,167.781105
-127.062352,122,168.545285
-118.127777,171,169.638084
-116.965836,91,170.205734
-108.468519,135,171.02231
-87.988975,225,172.436531
-119.864306,87,172.968949
-123.821204,113,173.662678
-126.899759,154,174.637652
-127.579364,201,175.895051
-114.362248,66,176.308542
-100.204697,332,203.271985
-85.92448,240,204.789423
-99.794015,234,206.233729
-82.242919,364,208.49002
-91.679253,224,209.866646
-82.666983,188,211.038938
-109.215767,194,254.898023
-119.993958,570,258.62128
-124.793099,94,259.229764
-85.890355,413,261.718321
-118.747098,515,289.559058
-109.396184,408,292.050051
-128.072011,125,292.824239
-70.068187,855,325.449625
-87.600983,843,330.506
-97.476231,185,331.620268
-84.754439,314,333.523181
-133.633762,160,334.503946
-86.951401,223,367.053144
-142.451944,241,368.491419
-70.523112,432,371.077415
-85.097927,623,374.775624
-127.093899,117,405.864623
-94.195038,190,407.001852
-65.360426,689,411.345115
-121.777293,138,412.205731
-93.946317,629,449.0859
-123.265188,283,450.833395
-138.13267,203,452.115834
-92.147122,442,454.857519
-92.625993,234,456.298204
-121.610683,89,456.840825
-100.026434,209,501.824103
-99.360466,325,503.861452
-128.729798,141,504.733076
-103.225514,324,506.721205
-130.953801,127,507.506239
-123.322952,88,508.037645
-119.942618,736,556.710532
-90.364228,330,558.745713
-120.746562,89,559.313901
-123.673637,120,560.073176
-112.274805,195,561.286226
-129.843422,132,562.096523
-127.149902,142,562.963948
-96.776571,270,564.711265
-77.852372,629,611.741376
-115.185856,306,613.569062
-114.406568,628,617.382046
-113.879533,591,664.573612
