#{"t_start": 1665136209.6652372, "env_id": "Acrobot-v1"}
r,l,t
-69.0,70,101.269401
-62.0,63,101.46347
-99.0,100,101.768545
-69.0,70,101.978863
-70.0,71,102.197181
-69.0,70,102.411716
-85.0,86,102.679026
-69.0,70,102.895021
-78.0,79,103.13775
-79.0,80,103.380021
-95.0,96,103.679614
-92.0,93,103.963723
-91.0,92,105.706661
-68.0,69,105.918219
-79.0,80,106.159779
-79.0,80,106.403634
-79.0,80,106.647217
-86.0,87,106.908398
-77.0,78,107.146424
-77.0,78,107.386959
-72.0,73,107.607752
-80.0,81,107.855051
-71.0,72,108.076061
-178.0,179,108.648574
-77.0,78,108.887557
-75.0,76,109.120477
-71.0,72,109.341436
-78.0,79,109.582406
-85.0,86,109.841998
-84.0,85,110.101667
-111.0,112,110.439013
-152.0,153,113.311894
-72.0,73,113.530761
-132.0,133,113.948749
-115.0,116,114.308434
-77.0,78,114.549371
-68.0,69,114.757698
-77.0,78,114.992491
-80.0,81,115.241561
-70.0,71,115.463056
-92.0,93,115.741276
-71.0,72,115.967376
-78.0,79,116.205704
-88.0,89,116.48019
-91.0,92,116.761555
-76.0,77,116.992078
-69.0,70,117.208672
-81.0,82,117.458739
-71.0,72,119.981627
-78.0,79,120.223517
-79.0,80,120.468268
-121.0,122,120.841104
-76.0,77,121.075316
-101.0,102,121.390136
-79.0,80,121.631978
-69.0,70,121.848877
-71.0,72,122.06809
-69.0,70,122.282651
-69.0,70,122.495537
-70.0,71,122.71623
-63.0,64,122.910877
-75.0,76,123.140347
-69.0,70,123.354839
-78.0,79,123.598403
-148.0,149,124.060328
-77.0,78,124.30427
-76.0,77,124.537215
-76.0,77,126.069857
-133.0,134,126.478786
-76.0,77,126.716224
-72.0,73,126.952225
-76.0,77,127.221952
-77.0,78,127.473436
-69.0,70,127.699497
-73.0,74,127.946543
-70.0,71,128.184267
-76.0,77,128.43625
-71.0,72,128.661874
-109.0,110,129.016936
-81.0,82,129.266814
-176.0,177,129.811138
-69.0,70,130.023313
-98.0,99,130.32516
-72.0,73,130.545539
-88.0,89,130.815181
