#{"t_start": 1665133484.8338807, "env_id": "Acrobot-v1"}
r,l,t
-500.0,500,3.666983
-167.0,168,4.251545
-182.0,183,4.839551
-97.0,98,5.142576
-133.0,134,5.558734
-104.0,105,5.889053
-123.0,124,6.271509
-120.0,121,6.645739
-133.0,134,9.319348
-107.0,108,9.648316
-86.0,87,9.920597
-83.0,84,10.180138
-124.0,125,10.575706
-80.0,81,10.867376
-127.0,128,11.318762
-98.0,99,11.658697
-86.0,87,11.949535
-92.0,93,12.275508
-87.0,88,12.583442
-88.0,89,12.862327
-78.0,79,13.106872
-99.0,100,13.415676
-91.0,92,13.702688
-96.0,97,14.003032
-93.0,94,14.296968
-79.0,80,16.910423
-77.0,78,17.159118
-81.0,82,17.423432
-99.0,100,17.732761
-88.0,89,18.011172
-92.0,93,18.298321
-87.0,88,18.592
-122.0,123,19.019226
-75.0,76,19.278426
-81.0,82,19.54431
-75.0,76,19.799598
-75.0,76,20.055063
-89.0,90,20.345758
-76.0,77,20.597025
-98.0,99,20.889966
-83.0,84,21.139547
-85.0,86,21.397632
-102.0,103,21.694517
-96.0,97,23.445767
-88.0,89,23.710495
-102.0,103,24.018296
-85.0,86,24.290282
-119.0,120,24.695066
-94.0,95,25.007777
-88.0,89,25.314675
-80.0,81,25.598188
-74.0,75,25.852789
-64.0,65,26.070027
-194.0,195,26.671232
-90.0,91,26.942394
-102.0,103,27.247732
-75.0,76,27.474386
-128.0,129,27.87162
-71.0,72,28.089435
-74.0,75,29.817692
-90.0,91,30.081417
-77.0,78,30.313777
-94.0,95,30.611339
-88.0,89,30.907161
-82.0,83,31.180551
-70.0,71,31.411959
-104.0,105,31.760758
-80.0,81,32.033315
-84.0,85,32.309418
-80.0,81,32.574351
-71.0,72,32.798508
-91.0,92,33.08927
-93.0,94,33.377504
-72.0,73,33.606207
-86.0,87,33.870986
-71.0,72,34.089758
-95.0,96,34.392183
-95.0,96,35.988046
-83.0,84,36.251327
-101.0,102,36.57759
-84.0,85,36.86481
-90.0,91,37.183325
-77.0,78,37.455225
-88.0,89,37.761517
-88.0,89,38.071862
-83.0,84,38.361686
-82.0,83,38.643696
-85.0,86,38.91685
-80.0,81,39.163189
-79.0,80,39.407956
-79.0,80,39.654128
-79.0,80,39.899755
-78.0,79,40.140188
-100.0,101,40.452325
-77.0,78,40.692357
-76.0,77,42.334051
-107.0,108,42.665194
-78.0,79,42.916677
-74.0,75,43.158872
-116.0,117,43.51477
-150.0,151,43.974943
-136.0,137,44.400996
-80.0,81,44.649759
-76.0,77,44.883363
-89.0,90,45.157517
-89.0,90,45.433599
-94.0,95,45.72523
-87.0,88,45.998728
-95.0,96,46.288914
-79.0,80,46.533947
-148.0,149,46.989499
-120.0,121,49.137352
-92.0,93,49.424329
-82.0,83,49.674664
-88.0,89,49.948478
-89.0,90,50.222778
-93.0,94,50.51228
-96.0,97,50.809702
-68.0,69,51.022325
-98.0,99,51.324785
-77.0,78,51.59079
-78.0,79,51.83237
-79.0,80,52.07914
-78.0,79,52.327098
-125.0,126,52.710767
-71.0,72,52.935003
-71.0,72,53.157789
-70.0,71,53.374444
-78.0,79,53.616518
-82.0,83,55.155225
-97.0,98,55.45391
-78.0,79,55.698195
-77.0,78,55.935552
-77.0,78,56.173334
-137.0,138,56.594739
-87.0,88,56.859826
-89.0,90,57.137155
-80.0,81,57.389071
-76.0,77,57.622845
-85.0,86,57.882863
-88.0,89,58.156565
-92.0,93,58.445603
-90.0,91,58.721778
-77.0,78,58.959042
-68.0,69,59.169997
-78.0,79,59.415
-69.0,70,59.631254
-74.0,75,61.806906
-77.0,78,62.044969
-82.0,83,62.295993
-80.0,81,62.542995
-86.0,87,62.811499
-129.0,130,63.210603
-68.0,69,63.425893
-87.0,88,63.693615
-187.0,188,64.272895
-86.0,87,64.541422
-123.0,124,64.927719
-81.0,82,65.180849
-90.0,91,65.46313
-90.0,91,65.747246
-129.0,130,66.152394
-223.0,224,67.748423
-103.0,104,68.070571
-78.0,79,68.325926
-81.0,82,68.602439
-91.0,92,68.910289
-76.0,77,69.164542
-79.0,80,69.439532
-77.0,78,69.712236
-72.0,73,69.952678
-99.0,100,70.265504
-76.0,77,70.495005
-81.0,82,70.743599
-71.0,72,70.966206
-106.0,107,71.287758
-76.0,77,71.510665
-70.0,71,71.712318
-88.0,89,71.967156
-74.0,75,72.183839
-80.0,81,73.343375
-69.0,70,73.545698
-110.0,111,73.868636
-75.0,76,74.085281
-69.0,70,74.287108
-76.0,77,74.512509
-85.0,86,74.785184
