#{"t_start": 1665250543.4520621, "env_id": "BipedalWalker-v3"}
r,l,t
-136.739292,680,7.240988
-130.525588,368,9.517015
-106.512582,76,9.985245
-145.674016,405,12.442943
-38.338881,1600,67.419594
104.704827,1600,119.225142
117.932173,1600,171.306114
72.551586,1600,183.316516
-110.431004,43,183.574523
-105.849675,65,183.974124
-106.434766,55,184.306937
-108.403667,45,184.584386
-107.500352,52,184.898795
-107.248143,45,185.173753
-108.939632,44,185.443141
-113.841166,45,185.722301
-113.698045,43,185.986591
-111.316851,56,186.327652
133.976501,1600,235.124567
-114.088283,43,235.402539
-114.029716,49,235.701676
-111.846361,47,235.995761
152.68161,1600,291.926858
-34.19556,797,341.788763
122.199981,1600,397.658326
98.533944,1600,454.104527
-111.269335,55,454.473712
-114.076251,59,454.852749
135.189159,1600,510.454293
-115.971791,52,510.778404
220.042383,1600,566.810853
237.13094,1581,623.475296
247.95082,1506,680.625379
246.819858,1520,734.48651
262.674502,1326,783.279919
-44.261835,432,786.249418
256.737466,1378,839.976793
-125.224871,42,840.262874
259.45967,1355,891.079436
261.043432,1328,900.006146
262.96037,1277,948.928581
