#{"t_start": 1665192083.1655655, "env_id": "BipedalWalker-v3"}
r,l,t
-101.952533,56,2.27078
-99.990835,64,2.68621
-103.483992,65,3.116305
-111.740593,78,3.616434
-96.432605,118,4.351914
-115.901648,166,5.340409
-129.877154,156,6.265044
-106.413497,61,6.617641
-104.171777,62,6.984586
-119.809623,137,7.798019
-109.259802,92,8.358354
-104.134383,85,8.871361
-106.555839,159,9.805576
-126.888169,115,10.477896
-86.173451,1600,61.356208
-110.473287,191,103.666981
-109.267012,95,104.262116
-51.962689,1600,155.507782
-41.76671,1600,206.475613
-19.668179,1600,259.445009
-26.885872,1600,271.929593
-34.093384,1600,283.082794
-106.927124,47,283.393353
-19.864747,1600,334.300502
-18.535784,1600,385.478514
-25.063411,1600,436.787329
-20.204119,1600,488.244277
-22.336786,1600,539.546434
-26.899213,1600,591.247453
-22.058662,1600,645.642093
-17.633736,1600,697.80495
-24.536969,1600,749.738505
-23.220742,1600,802.175056
-22.91465,1600,853.951368
-23.54422,1600,905.315344
