#{"t_start": 1665242148.9931304, "env_id": "BipedalWalker-v3"}
r,l,t
-134.811629,667,5.818334
-117.002159,102,6.390429
-116.677427,80,6.832714
-44.583546,1600,56.910068
-55.170492,1600,111.438145
-35.848765,1600,164.678337
-33.007497,1600,219.274293
-26.52559,1600,273.975066
-108.084003,48,274.266969
-135.293597,391,276.612324
-104.988594,116,317.115936
-114.124358,87,317.643104
-117.421133,124,318.389704
-116.228346,67,318.803341
-118.523805,117,319.524417
-117.960376,71,319.966989
-30.795671,1600,371.382732
-97.987347,115,372.080497
-97.845275,149,372.968385
-129.67964,252,374.507801
-129.549632,257,376.055138
-123.403846,130,376.843061
-125.213239,180,419.530469
-133.098879,265,421.12707
-123.997843,150,422.024991
-122.042663,119,422.745784
-83.469589,1600,476.729407
-20.984543,1600,529.190769
-131.593191,1108,578.002521
-22.497623,1600,630.503947
-24.503092,1600,679.829917
-105.813427,169,680.831232
-137.411955,422,683.345417
-128.236567,224,684.674773
-103.017725,143,685.517408
-150.695651,580,693.48713
-126.700011,178,694.533506
-124.302319,165,695.50257
-133.98553,308,697.333575
-126.889951,174,698.377176
-128.43382,240,699.783069
-123.21316,140,700.61802
-99.860379,82,701.100519
-99.314741,87,708.878341
-109.480181,234,710.286196
-121.802756,129,711.05973
-111.941861,277,712.753318
-126.686025,199,713.960586
-123.46741,444,716.686143
-128.019046,201,717.890212
-135.89008,242,724.585487
-123.112651,120,725.314757
-112.886828,391,727.651442
-103.528687,81,728.147244
-128.446701,202,729.393121
-104.680716,193,730.543265
-154.562099,1058,744.134053
-102.380602,99,744.749724
-103.825816,77,745.213187
-101.807713,116,745.945328
-124.566263,171,746.986513
-125.384291,165,748.010476
-36.667798,1600,798.849896
-101.777987,153,799.809136
-135.36308,185,806.004631
-135.57049,277,807.69787
-101.636649,137,808.548299
-131.745883,252,810.091946
