#{"t_start": 1665137431.0237973, "env_id": "Acrobot-v1"}
r,l,t
-434.0,435,3.42598
-174.0,175,4.011462
-136.0,137,4.456412
-117.0,118,4.818966
-184.0,185,5.355218
-127.0,128,5.722487
-107.0,108,6.031566
-123.0,124,6.384914
-95.0,96,6.664506
-89.0,90,10.903599
-102.0,103,11.211017
-115.0,116,11.583197
-98.0,99,11.913085
-108.0,109,12.283576
-102.0,103,12.625212
-179.0,180,13.250963
-99.0,100,13.574605
-80.0,81,13.833001
-82.0,83,14.081729
-81.0,82,14.33302
-181.0,182,14.886748
-94.0,95,15.178289
-94.0,95,15.470642
-90.0,91,15.748165
-77.0,78,17.71742
-76.0,77,17.953899
-79.0,80,18.198788
-85.0,86,18.471799
-144.0,145,18.966947
-98.0,99,19.289778
-89.0,90,19.574828
-92.0,93,19.878683
-75.0,76,20.125763
-87.0,88,20.404167
-157.0,158,20.904221
-89.0,90,21.18267
-87.0,88,21.456173
-93.0,94,21.739855
-69.0,70,21.955105
-63.0,64,22.150811
-119.0,120,23.787883
-124.0,125,24.165042
-90.0,91,24.447362
-82.0,83,24.698435
-103.0,104,25.018891
-105.0,106,25.339634
-95.0,96,25.632279
-86.0,87,25.89448
-98.0,99,26.196053
-69.0,70,26.411335
-80.0,81,26.678809
-77.0,78,26.916185
-95.0,96,27.206583
-93.0,94,27.496111
-80.0,81,27.741088
-72.0,73,27.964861
-84.0,85,28.221007
-81.0,82,28.472111
-87.0,88,30.982383
-75.0,76,31.22862
-74.0,75,31.456095
-98.0,99,31.754409
-127.0,128,32.145208
-83.0,84,32.40194
-93.0,94,32.691146
-83.0,84,32.947136
-95.0,96,33.250251
-80.0,81,33.492938
-85.0,86,33.738254
-78.0,79,33.963302
-92.0,93,34.225583
-72.0,73,34.433297
-89.0,90,34.689745
-149.0,150,35.116212
-148.0,149,36.814942
-79.0,80,37.050533
-88.0,89,37.329519
-71.0,72,37.558409
-79.0,80,37.832815
-91.0,92,38.154401
-169.0,170,38.742387
-238.0,239,39.526433
-69.0,70,39.747163
-71.0,72,39.953636
-64.0,65,40.138743
-74.0,75,40.353093
-90.0,91,40.615827
-76.0,77,40.834203
-73.0,74,41.046827
-75.0,76,41.264226
-96.0,97,42.563559
-81.0,82,42.794133
-69.0,70,42.995917
-112.0,113,43.323575
-68.0,69,43.524282
-77.0,78,43.75258
-74.0,75,43.968166
-80.0,81,44.196666
-88.0,89,44.45105
-84.0,85,44.69135
-73.0,74,44.902519
-76.0,77,45.120582
-118.0,119,45.459346
-87.0,88,45.710621
-71.0,72,45.914639
-70.0,71,46.115984
-79.0,80,46.354073
-63.0,64,46.540075
-78.0,79,46.764849
-193.0,194,49.766125
-83.0,84,50.01716
-93.0,94,50.304091
-78.0,79,50.544843
-73.0,74,50.769102
-87.0,88,51.032919
-72.0,73,51.258826
-141.0,142,51.693149
