#{"t_start": 1665135654.9782546, "env_id": "LunarLanderContinuous-v2"}
r,l,t
-645.982675,97,2.498556
-63.624791,86,2.855064
-398.844483,92,3.271367
-425.502212,76,3.579081
-514.975296,83,3.968818
-572.955138,73,4.318918
-408.428737,71,4.61164
-319.911529,85,4.984903
-614.295587,79,5.377723
-830.229756,140,6.057471
-359.63762,109,6.45641
-496.020619,78,6.763475
-107.093965,103,7.150404
-9.739235,85,7.462119
-244.691057,73,7.779691
-325.414525,84,8.152326
22.178491,66,8.381828
-480.245007,81,8.65853
-387.409125,89,9.019888
-417.18239,81,9.33871
-261.882034,72,9.603948
-512.056481,92,9.969278
-6.244285,103,10.385265
-510.941567,97,10.715446
-475.353749,88,11.12321
-309.683084,70,11.470624
-483.928787,105,12.01456
-332.807267,77,12.380838
-47.562242,92,12.791398
-482.345979,106,13.312983
-484.289807,92,13.722311
-455.929781,91,14.078238
-267.95618,76,14.396475
-396.549525,87,14.747899
-274.891145,82,15.121516
-331.559258,67,15.384839
-55.140458,59,15.625057
-179.784108,64,15.849782
-405.02244,69,16.064075
-106.727849,86,16.326629
-77.000697,81,16.603245
-159.774029,53,16.785357
-337.256633,74,16.977019
-194.289229,85,17.180942
-82.513021,69,17.366381
-220.930662,84,17.574846
-95.117296,82,17.753536
-523.561452,85,17.974247
-161.446973,69,18.144268
-766.413559,127,18.591301
-84.935833,70,18.849388
-211.74056,98,19.127409
-560.564591,106,19.51703
-492.194713,113,19.913814
-172.947536,65,20.078576
-474.512829,102,20.519951
-1064.660019,192,21.467797
-87.586773,89,21.768434
-508.507592,79,22.055669
-63.550983,71,22.327814
-196.42567,87,22.680588
-116.982044,60,22.908739
-256.337743,81,23.214568
-141.316002,75,23.50082
4.357164,90,23.805925
-127.02383,57,23.973547
-359.317294,104,24.318596
-117.724979,60,24.479392
-133.899778,59,24.637529
-133.312691,53,24.781354
-222.215546,82,25.004812
-122.032308,83,25.253512
-149.810792,61,25.448428
-106.352144,83,25.661412
-140.535675,74,28.514255
-133.272976,61,28.733422
-180.610237,85,29.065488
-135.789834,66,29.364611
-73.216026,73,29.613762
-117.84806,71,29.851973
-146.684843,93,30.17962
-160.17053,70,30.412073
-206.681534,72,30.651957
-126.527922,80,30.939013
-85.905514,83,31.246028
-326.162878,73,31.494243
-399.42158,82,31.807231
-346.869382,110,32.143389
-416.165907,107,32.469075
-73.797192,81,32.722457
-109.170201,57,32.89828
-75.09343,108,33.224184
-171.483479,77,33.45903
-239.300212,76,33.651363
-145.08092,73,33.8058
-103.460397,87,33.98903
-448.288267,128,34.426602
-210.853424,259,35.705014
-69.358535,71,35.943514
-109.013377,81,36.2056
-37.053796,65,36.39041
-108.136776,65,36.575419
-85.658349,55,36.744802
-103.948352,62,36.927948
-48.651966,67,37.125886
-104.175861,85,37.374246
-66.76098,101,37.666505
-154.468246,116,38.151497
-30.227817,185,39.000664
-63.726464,60,39.218872
-94.450203,63,39.432227
-72.803375,65,39.637914
178.808573,689,44.860975
-153.047556,63,45.1055
-58.284008,139,45.665662
10.042195,89,46.032172
-87.649363,58,46.234252
-40.478638,101,46.596693
-45.249888,83,46.951143
-61.348265,80,47.288189
-406.951443,89,47.65025
-313.888945,219,48.564583
-44.233149,125,49.12355
-37.151055,74,49.430573
303.224981,303,51.231117
-75.03835,78,51.720367
-206.99145,87,52.337387
21.031872,150,53.650412
-80.340535,160,55.313705
-127.461739,84,55.987041
-67.495206,106,56.439173
-32.321035,109,56.918338
-165.981092,82,57.268384
-264.176335,121,69.37756
-217.196673,115,69.940644
-153.419006,78,70.300197
-217.86881,108,70.815492
-238.64995,102,71.35604
-27.039876,123,71.9308
-88.888437,88,72.362632
262.320624,208,73.503072
-199.905557,85,73.869037
-66.923687,170,74.75086
-157.710935,415,77.536466
-34.228609,136,78.352189
-259.798205,165,79.231645
-96.807089,129,80.033458
-244.22122,167,81.150038
-277.389738,149,82.324881
-349.734801,169,83.391478
-170.720187,105,83.976415
245.816859,446,87.681779
-274.152845,115,88.254455
-121.899459,210,89.691842
-229.808195,122,90.550978
-131.516195,152,91.450185
-335.11766,129,92.229096
-484.574436,297,94.186108
-305.229934,120,95.133512
-380.847772,188,96.726743
-405.533242,236,98.542225
-205.752066,160,99.64273
-84.471674,166,100.806585
205.878284,450,104.338872
-315.92801,242,106.386736
-271.138169,150,107.370803
-343.147617,170,108.687993
