#{"t_start": 1665132413.8873756, "env_id": "Acrobot-v1"}
r,l,t
-500.0,500,3.468413
-332.0,333,4.51634
-214.0,215,5.174661
-154.0,155,5.641924
-101.0,102,5.946192
-117.0,118,6.332625
-119.0,120,6.692234
-112.0,113,8.307041
-133.0,134,8.707267
-85.0,86,8.969494
-87.0,88,9.244108
-111.0,112,9.631293
-81.0,82,9.886525
-98.0,99,10.201553
-86.0,87,10.487164
-101.0,102,10.813348
-140.0,141,11.25532
-110.0,111,11.595365
-85.0,86,11.856509
-99.0,100,12.163016
-80.0,81,12.407976
-92.0,93,12.699063
-86.0,87,15.07548
-115.0,116,15.431509
-97.0,98,15.726915
-92.0,93,16.012524
-85.0,86,16.275818
-73.0,74,16.502527
-82.0,83,16.752502
-78.0,79,16.993206
-193.0,194,17.576314
-80.0,81,17.823971
-88.0,89,18.100377
-77.0,78,18.342464
-79.0,80,18.588026
-100.0,101,18.901644
-120.0,121,19.272506
-99.0,100,19.580395
-98.0,99,21.258308
-83.0,84,21.515652
-153.0,154,21.985418
-69.0,70,22.204819
-141.0,142,22.64185
-72.0,73,22.862798
-94.0,95,23.157254
-85.0,86,23.424496
-71.0,72,23.642314
-72.0,73,23.868422
-73.0,74,24.091108
-63.0,64,24.286924
-79.0,80,24.531995
-82.0,83,24.789596
-74.0,75,25.020002
-94.0,95,25.313262
-87.0,88,25.572565
-76.0,77,25.795367
-99.0,100,27.056048
-111.0,112,27.394547
-81.0,82,27.644521
-73.0,74,27.873764
-131.0,132,28.314474
-73.0,74,28.549361
-80.0,81,28.803304
-75.0,76,29.043025
-72.0,73,29.273903
-92.0,93,29.583234
-73.0,74,29.813992
-90.0,91,30.095081
-70.0,71,30.312555
-73.0,74,30.538662
-74.0,75,30.765149
-93.0,94,31.056829
-70.0,71,31.275952
-70.0,71,31.487986
-72.0,73,31.708596
-69.0,70,33.87365
-82.0,83,34.129896
-85.0,86,34.396461
-71.0,72,34.61386
-105.0,106,34.934394
-71.0,72,35.156452
-74.0,75,35.384935
-95.0,96,35.676347
-83.0,84,35.933935
-81.0,82,36.185911
-78.0,79,36.430727
-100.0,101,36.735761
-84.0,85,36.998421
-77.0,78,37.23623
-76.0,77,37.46804
-74.0,75,37.695717
-94.0,95,37.990228
-72.0,73,38.212343
-91.0,92,40.225394
-106.0,107,40.553527
-70.0,71,40.770798
-86.0,87,41.031034
-110.0,111,41.37589
-94.0,95,41.667629
-96.0,97,41.966572
-101.0,102,42.276051
-80.0,81,42.521096
-90.0,91,42.802946
-80.0,81,43.05003
-69.0,70,43.274217
-78.0,79,43.518225
-80.0,81,43.764765
-100.0,101,44.076516
-81.0,82,44.324888
-80.0,81,44.57339
-68.0,69,44.780892
-67.0,68,44.992023
-95.0,96,47.752154
-71.0,72,47.975877
-93.0,94,48.262996
-84.0,85,48.525114
-87.0,88,48.79231
-76.0,77,49.028956
-77.0,78,49.272248
-72.0,73,49.501033
-75.0,76,49.73182
-91.0,92,50.011472
-88.0,89,50.283063
-88.0,89,50.555309
-87.0,88,50.819775
-81.0,82,51.074523
-86.0,87,51.341389
-79.0,80,51.585802
-78.0,79,51.827606
-177.0,178,54.195291
-157.0,158,54.674504
-88.0,89,54.946998
-87.0,88,55.215162
-80.0,81,55.46214
-85.0,86,55.724896
-77.0,78,55.964644
-78.0,79,56.200247
-71.0,72,56.422956
-69.0,70,56.636036
-83.0,84,56.891238
-91.0,92,57.173497
-77.0,78,57.413363
-87.0,88,57.67841
-83.0,84,57.933924
-78.0,79,58.179328
-77.0,78,58.414894
-73.0,74,58.654616
-76.0,77,60.836174
-70.0,71,61.049856
-79.0,80,61.29432
-187.0,188,61.86376
-79.0,80,62.106431
-75.0,76,62.346879
-71.0,72,62.566267
-80.0,81,62.81153
-95.0,96,63.104422
-83.0,84,63.362518
-74.0,75,63.599041
-77.0,78,63.848213
-68.0,69,64.064053
-86.0,87,64.330181
-120.0,121,64.696046
-69.0,70,64.906533
-70.0,71,65.121995
-78.0,79,65.366809
-71.0,72,65.58938
-79.0,80,67.643121
-77.0,78,67.880362
-69.0,70,68.09474
-76.0,77,68.347661
-68.0,69,68.54706
-67.0,68,68.747794
-89.0,90,69.013707
-92.0,93,69.286086
-75.0,76,69.517174
-102.0,103,69.828372
-72.0,73,70.050088
-75.0,76,70.285027
-93.0,94,70.573134
-92.0,93,70.857619
-82.0,83,71.106834
-87.0,88,71.374841
-70.0,71,71.589529
-76.0,77,71.822182
-114.0,115,74.010303
-75.0,76,74.245179
-70.0,71,74.461494
-69.0,70,74.675065
-78.0,79,74.917675
-162.0,163,75.410906
-71.0,72,75.633957
-95.0,96,75.923598
-104.0,105,76.245213
-79.0,80,76.490875
-90.0,91,76.769518
-78.0,79,77.013102
-74.0,75,77.242087
-94.0,95,77.529707
-71.0,72,77.745394
-92.0,93,78.033129
-70.0,71,78.249386
-76.0,77,78.480959
-75.0,76,78.713507
-74.0,75,80.465429
-80.0,81,80.713779
-126.0,127,81.100654
-84.0,85,81.36026
-71.0,72,81.580853
-88.0,89,81.845434
-71.0,72,82.066508
-76.0,77,82.301963
-77.0,78,82.54122
-93.0,94,82.828931
-78.0,79,83.069292
-77.0,78,83.31129
-70.0,71,83.528905
-67.0,68,83.736062
-81.0,82,83.997108
-70.0,71,84.22705
-78.0,79,84.474135
-74.0,75,84.705141
-70.0,71,84.920615
-115.0,116,86.931555
-124.0,125,87.319566
-70.0,71,87.537499
-68.0,69,87.749617
-72.0,73,87.969897
-109.0,110,88.305799
-88.0,89,88.577238
-71.0,72,88.798235
-126.0,127,89.198342
-76.0,77,89.43354
-81.0,82,89.686916
-79.0,80,89.929352
-96.0,97,90.222354
-105.0,106,90.546499
-84.0,85,90.805913
-71.0,72,91.029652
-77.0,78,91.267331
-69.0,70,91.481433
-70.0,71,93.178809
-69.0,70,93.392228
-108.0,109,93.727703
-95.0,96,94.018216
-70.0,71,94.245727
-78.0,79,94.481876
-80.0,81,94.733199
-91.0,92,95.011703
-71.0,72,95.226966
-80.0,81,95.476166
-80.0,81,95.722298
-83.0,84,95.97977
-77.0,78,96.213625
-75.0,76,96.441196
-76.0,77,96.677078
-78.0,79,96.916006
-141.0,142,97.343061
-64.0,65,97.540006
-78.0,79,98.909458
-84.0,85,99.170012
-78.0,79,99.428298
-79.0,80,99.674501
-79.0,80,99.920068
-76.0,77,100.153439
-79.0,80,100.39667
-77.0,78,100.636733
-90.0,91,100.914121
-83.0,84,101.169448
-80.0,81,101.416674
-78.0,79,101.657515
-77.0,78,101.892342
-77.0,78,102.130508
-92.0,93,102.41588
-76.0,77,102.650342
-99.0,100,102.955335
-75.0,76,103.187849
-88.0,89,103.461473
-95.0,96,104.6734
-78.0,79,104.919102
-84.0,85,105.18233
-72.0,73,105.402901
-85.0,86,105.669472
-77.0,78,105.903434
-84.0,85,106.165733
-91.0,92,106.447023
-79.0,80,106.689162
-155.0,156,107.163321
-76.0,77,107.397544
-72.0,73,107.622179
-80.0,81,107.86988
-80.0,81,108.118696
-76.0,77,108.35448
-76.0,77,108.585902
-68.0,69,108.799414
-72.0,73,109.01926
-78.0,79,109.264374
-77.0,78,110.859475
-77.0,78,111.095662
-169.0,170,111.614871
-87.0,88,111.883278
-82.0,83,112.140038
-71.0,72,112.3585
-95.0,96,112.650333
-94.0,95,112.941068
-78.0,79,113.184216
-69.0,70,113.398582
-68.0,69,113.610216
-80.0,81,113.855268
-110.0,111,114.193288
-83.0,84,114.463265
-69.0,70,114.684354
-85.0,86,114.94849
-86.0,87,115.218881
-71.0,72,115.436669
-85.0,86,116.817687
-84.0,85,117.075679
-71.0,72,117.299997
-73.0,74,117.522117
-78.0,79,117.762185
-74.0,75,117.992775
-76.0,77,118.234858
-112.0,113,118.574994
-86.0,87,118.841014
-141.0,142,119.269985
-82.0,83,119.528616
-77.0,78,119.764841
-78.0,79,120.004071
-67.0,68,120.214057
-85.0,86,120.477699
-89.0,90,120.75065
-77.0,78,120.986678
-87.0,88,121.256855
-91.0,92,122.876058
-72.0,73,123.102504
-76.0,77,123.33817
-86.0,87,123.602694
-79.0,80,123.846719
-82.0,83,124.093416
-71.0,72,124.314798
-69.0,70,124.529012
-85.0,86,124.793598
-124.0,125,125.178491
-76.0,77,125.411322
-91.0,92,125.694065
-78.0,79,125.93639
-69.0,70,126.147211
-76.0,77,126.378911
-70.0,71,126.601019
-70.0,71,126.821176
-93.0,94,127.11149
-73.0,74,127.344826
