#{"t_start": 1665132545.8104107, "env_id": "Acrobot-v1"}
r,l,t
-452.0,453,3.536845
-214.0,215,4.257438
-163.0,164,4.775682
-135.0,136,5.201438
-133.0,134,5.646513
-183.0,184,6.23698
-106.0,107,6.580582
-166.0,167,7.116167
-84.0,85,8.784984
-103.0,104,9.10565
-102.0,103,9.471918
-159.0,160,10.02984
-94.0,95,10.359074
-118.0,119,10.745627
-70.0,71,10.96953
-89.0,90,11.265772
-185.0,186,11.853492
-122.0,123,12.255306
-98.0,99,12.564498
-86.0,87,12.84507
-83.0,84,13.11546
-77.0,78,13.366899
-145.0,146,15.322993
-94.0,95,15.619734
-63.0,64,15.823122
-116.0,117,16.20364
-88.0,89,16.513961
-78.0,79,16.793128
-95.0,96,17.133453
-85.0,86,17.445741
-143.0,144,17.929095
-92.0,93,18.251272
-76.0,77,18.493139
-76.0,77,18.737543
-93.0,94,19.034044
-73.0,74,19.264765
-75.0,76,19.50936
-74.0,75,19.749401
-91.0,92,20.044607
-86.0,87,21.641069
-95.0,96,21.95087
-87.0,88,22.23397
-97.0,98,22.585754
-95.0,96,22.923633
-81.0,82,23.183978
-100.0,101,23.531623
-72.0,73,23.772685
-94.0,95,24.082302
-77.0,78,24.333805
-81.0,82,24.577452
-90.0,91,24.847017
-85.0,86,25.110421
-74.0,75,25.337301
-74.0,75,25.560428
-73.0,74,25.778927
-90.0,91,26.053153
-91.0,92,26.329759
-89.0,90,27.513192
-84.0,85,27.762863
-81.0,82,28.013408
-85.0,86,28.292831
-80.0,81,28.558548
-68.0,69,28.789106
-62.0,63,28.989515
-73.0,74,29.236244
-105.0,106,29.57805
-145.0,146,30.024349
-80.0,81,30.268359
-86.0,87,30.538415
-93.0,94,30.831371
-73.0,74,31.061625
-73.0,74,31.290948
-85.0,86,31.56464
-74.0,75,31.798461
-80.0,81,32.05087
-81.0,82,32.303555
-70.0,71,33.970326
-80.0,81,34.227342
-69.0,70,34.446729
-81.0,82,34.695554
-79.0,80,34.942068
-81.0,82,35.192571
-79.0,80,35.442187
-69.0,70,35.65879
-81.0,82,35.911902
-88.0,89,36.195285
-90.0,91,36.487876
-94.0,95,36.776089
-73.0,74,37.003658
-85.0,86,37.271806
-80.0,81,37.527963
-94.0,95,37.820865
-67.0,68,38.032628
-85.0,86,38.298552
-80.0,81,38.547923
-83.0,84,40.066805
-83.0,84,40.328115
-79.0,80,40.574683
-76.0,77,40.812145
-106.0,107,41.14352
-77.0,78,41.389385
-93.0,94,41.686199
-92.0,93,41.973613
-88.0,89,42.256682
-86.0,87,42.531391
-78.0,79,42.773121
-87.0,88,43.047726
-76.0,77,43.289231
-69.0,70,43.506
-70.0,71,43.733497
-78.0,79,43.974675
-77.0,78,44.219644
-79.0,80,44.468894
-73.0,74,44.702668
-76.0,77,46.272727
-92.0,93,46.568838
-91.0,92,46.854583
-62.0,63,47.053668
-70.0,71,47.279296
-69.0,70,47.497943
-146.0,147,47.955946
-149.0,150,48.425767
-81.0,82,48.687948
-77.0,78,48.934115
-80.0,81,49.195356
-85.0,86,49.46461
-86.0,87,49.732005
-81.0,82,49.987049
-91.0,92,50.273038
-87.0,88,50.549075
-82.0,83,50.801735
-80.0,81,52.717441
-84.0,85,52.979945
-89.0,90,53.258199
-77.0,78,53.50116
-75.0,76,53.73602
-90.0,91,54.025874
-76.0,77,54.278065
-84.0,85,54.545341
-83.0,84,54.804779
-78.0,79,55.048804
-80.0,81,55.306205
-71.0,72,55.530425
-89.0,90,55.809147
-76.0,77,56.052121
-78.0,79,56.314196
-90.0,91,56.606638
-78.0,79,56.855844
-86.0,87,57.130779
-87.0,88,57.407579
-88.0,89,59.685174
-72.0,73,59.920133
-72.0,73,60.151823
-87.0,88,60.437462
-81.0,82,60.69464
-87.0,88,60.977274
-81.0,82,61.241555
-67.0,68,61.457463
-88.0,89,61.740692
-84.0,85,62.011266
-74.0,75,62.250235
-79.0,80,62.502228
-84.0,85,62.771511
-86.0,87,63.040402
-83.0,84,63.302769
-71.0,72,63.525753
-90.0,91,63.810714
-78.0,79,64.064773
-87.0,88,64.344116
-77.0,78,65.918804
-94.0,95,66.219503
-88.0,89,66.497128
-79.0,80,66.743902
-69.0,70,66.964852
-79.0,80,67.217571
-69.0,70,67.439476
-73.0,74,67.669546
-87.0,88,67.941511
-78.0,79,68.180583
-80.0,81,68.437259
-73.0,74,68.666284
-90.0,91,68.955487
-85.0,86,69.226022
-84.0,85,69.505443
-69.0,70,69.711111
-90.0,91,69.990054
-82.0,83,70.249511
-99.0,100,70.55768
-81.0,82,72.616776
-94.0,95,72.917144
-71.0,72,73.135504
-70.0,71,73.358483
-77.0,78,73.598921
-70.0,71,73.816042
-71.0,72,74.04182
-92.0,93,74.332281
-143.0,144,74.788311
-70.0,71,75.009317
-81.0,82,75.265322
-86.0,87,75.53497
-77.0,78,75.783332
-70.0,71,76.002606
-76.0,77,76.244196
-72.0,73,76.472363
-79.0,80,76.721447
-79.0,80,76.969111
-79.0,80,77.222191
-88.0,89,78.766642
-80.0,81,79.01677
-70.0,71,79.235999
-87.0,88,79.521822
-80.0,81,79.769952
-76.0,77,80.009827
-87.0,88,80.286383
-69.0,70,80.501508
-77.0,78,80.750274
-76.0,77,80.994422
-70.0,71,81.216336
-77.0,78,81.464482
-221.0,222,82.145282
-69.0,70,82.367932
-95.0,96,82.670957
-83.0,84,82.941771
-76.0,77,83.189381
-84.0,85,83.459731
-87.0,88,85.350788
-77.0,78,85.600208
-77.0,78,85.84376
-72.0,73,86.078571
-78.0,79,86.328447
-86.0,87,86.59854
-87.0,88,86.877568
-76.0,77,87.120058
-76.0,77,87.363352
-76.0,77,87.604379
-77.0,78,87.854267
-78.0,79,88.099285
-77.0,78,88.346878
-171.0,172,88.883765
-90.0,91,89.177055
-84.0,85,89.449616
-84.0,85,89.720117
-78.0,79,89.973175
-77.0,78,91.322455
-77.0,78,91.568803
-68.0,69,91.784828
-67.0,68,92.002812
-70.0,71,92.229763
-79.0,80,92.482396
-89.0,90,92.761739
-88.0,89,93.039734
-89.0,90,93.319857
-68.0,69,93.534607
-89.0,90,93.813174
-74.0,75,94.047778
-68.0,69,94.263295
-78.0,79,94.510262
-107.0,108,94.850415
-70.0,71,95.084779
-70.0,71,95.311507
-69.0,70,95.530271
-78.0,79,95.781168
-80.0,81,96.033417
-70.0,71,98.214411
-78.0,79,98.461932
-89.0,90,98.738118
-76.0,77,98.978423
-70.0,71,99.198053
-87.0,88,99.479333
-80.0,81,99.728856
-78.0,79,99.979352
-79.0,80,100.236791
-76.0,77,100.479043
-79.0,80,100.733759
-80.0,81,100.981955
-89.0,90,101.251938
-77.0,78,101.482018
-78.0,79,101.711323
-85.0,86,101.960045
-86.0,87,102.212123
-67.0,68,102.418045
-116.0,117,102.754915
-79.0,80,103.855644
-79.0,80,104.092211
-85.0,86,104.343552
-86.0,87,104.611086
-129.0,130,104.989373
-90.0,91,105.276293
-87.0,88,105.558704
-75.0,76,105.795604
-79.0,80,106.036591
-85.0,86,106.308655
-82.0,83,106.573284
-69.0,70,106.79091
-76.0,77,107.030432
-76.0,77,107.280478
-77.0,78,107.516448
-77.0,78,107.749469
-80.0,81,107.995751
-70.0,71,108.217413
-87.0,88,108.495221
-82.0,83,110.199809
-71.0,72,110.447394
-127.0,128,110.855428
-85.0,86,111.124676
-84.0,85,111.391358
-110.0,111,111.748901
-61.0,62,111.936755
-69.0,70,112.158763
-70.0,71,112.384703
-86.0,87,112.66187
-76.0,77,112.904926
-80.0,81,113.163778
-70.0,71,113.386735
-225.0,226,114.109774
-169.0,170,114.641393
-248.0,249,117.663094
-69.0,70,117.880317
-80.0,81,118.136269
-70.0,71,118.356984
-106.0,107,118.690119
-77.0,78,118.935601
-70.0,71,119.163909
-68.0,69,119.371417
-88.0,89,119.633641
-71.0,72,119.84544
-72.0,73,120.06389
-85.0,86,120.315005
-81.0,82,120.558367
-79.0,80,120.794854
-80.0,81,121.031725
-77.0,78,121.265444
-77.0,78,121.497854
-82.0,83,121.740912
-87.0,88,123.606369
-79.0,80,123.840929
-76.0,77,124.063636
-87.0,88,124.326437
-72.0,73,124.54237
-77.0,78,124.773381
-75.0,76,124.994442
-69.0,70,125.200913
-69.0,70,125.406626
-74.0,75,125.625307
-71.0,72,125.83719
-79.0,80,126.079534
-69.0,70,126.301998
