#{"t_start": 1665153913.4724345, "env_id": "LunarLanderContinuous-v2"}
r,l,t
-766.161049,80,2.232
-896.718615,147,2.954338
-964.384012,103,3.415888
-976.412505,83,3.798727
-850.424799,113,4.331463
-152.799328,64,4.621641
-541.630695,76,5.097296
-107.462892,78,5.367742
-318.801207,88,5.688477
-134.867326,60,5.878023
-166.284865,68,6.049519
-142.358787,101,6.312897
-130.810129,76,6.524392
-107.108618,75,6.689873
-117.539445,72,6.872889
-110.100178,57,7.019007
-134.642251,54,7.134796
-97.685759,54,7.262325
-123.1925,53,7.369092
-141.851289,67,7.519536
-144.519462,84,7.693813
-98.260898,52,7.803062
3.418011,117,8.06622
-155.216691,61,8.193545
-148.31926,66,8.34747
-134.922466,53,8.464486
-126.962071,62,8.604937
-167.374413,78,8.758848
-116.645993,53,8.875738
-179.118013,62,9.037446
-128.080881,55,9.139815
-105.166023,80,9.323448
-162.715191,76,9.483059
-155.689018,72,9.644313
-390.299909,120,9.983834
-154.972536,71,10.168883
-178.624054,83,10.457537
-563.73113,121,10.799772
-111.077708,63,10.92796
-238.845068,127,11.33945
-7.967563,95,11.5746
-281.218733,134,11.954353
-128.152733,73,12.16206
-130.829322,77,12.335894
-143.795907,71,12.542934
-213.157893,95,12.922865
-420.399084,80,13.192219
-111.784667,87,13.420169
-393.970613,133,13.849672
-164.47981,80,14.115319
-98.309778,116,14.575058
-176.173929,107,14.924549
-356.552578,147,15.488666
-985.797393,173,16.372629
-132.137225,52,16.523019
-96.092886,63,16.72425
-225.724836,60,16.985386
-298.67742,64,17.260341
-155.054049,221,18.25603
-122.333513,52,18.415416
-152.345636,63,18.679595
-286.119909,143,19.501825
-91.257031,55,19.754944
-61.418035,60,19.90575
-232.739136,86,20.262112
-193.746327,69,20.474168
-105.640743,58,20.6443
-148.440707,68,20.847704
-126.926055,128,21.281327
-42.297537,78,21.518636
-79.459322,96,21.793889
-125.923709,138,22.280069
-67.431217,124,26.796001
-139.371222,77,27.079849
-119.473685,136,27.570659
-173.90013,71,27.848562
-164.877488,71,28.124678
-100.667886,63,28.365634
-9.78355,131,28.918753
-60.398122,65,29.136306
-176.07955,156,29.808392
-56.523743,115,30.241539
-89.6095,101,30.573376
-108.800838,82,30.920475
-34.630896,91,31.260455
-115.483453,69,31.542153
-58.330276,128,32.177999
-305.12495,275,34.368724
-88.32962,98,34.772773
-301.804063,268,36.128382
-15.912995,104,36.519644
-144.597364,229,37.625599
-305.81872,730,45.198918
-106.509242,131,46.052378
-102.105978,273,48.274171
-223.011427,239,50.057255
-203.376016,592,57.368849
191.334091,507,61.62558
-34.938394,119,62.723796
-107.389046,299,65.536528
-181.762379,495,70.752916
-54.658873,132,71.742291
-114.659946,406,148.817849
-195.80248,270,150.933251
-11.523536,124,151.596272
270.02047,388,155.281821
-30.926968,152,156.331683
-83.075688,181,157.696989
-15.146002,157,158.581149
251.512349,326,161.362117
131.210117,936,173.797417
-39.763445,160,175.382577
-120.727458,812,189.48202
263.455495,433,194.756349
-13.15946,287,197.827802
-4.357271,192,200.404747
235.590885,576,208.878984
-63.95729,303,212.192267
207.507623,534,218.94743
