#{"t_start": 1665185218.2882159, "env_id": "BipedalWalker-v3"}
r,l,t
-100.885403,132,2.897282
-105.205839,129,3.67961
-66.178751,1600,15.750319
-100.550278,63,16.154849
-69.178371,1600,69.445955
-101.05712,113,70.151157
-101.98441,70,70.590888
-53.049368,1600,83.676632
-39.392546,1600,95.052516
-40.802202,1600,148.476742
-31.782321,1600,202.505297
-31.402971,1600,257.127269
-27.498345,1600,268.759064
-36.745558,1600,325.612419
-18.744797,1600,379.240113
-21.264589,1600,436.622276
-115.989749,42,436.892685
-122.822179,48,437.203017
-26.043957,1600,496.02656
-25.263172,1600,552.304079
-18.588093,1600,609.269999
-13.571376,1600,668.703477
-121.097394,52,669.044297
-26.002944,1600,728.471849
-21.876703,1600,787.402569
-111.753301,45,787.69088
-13.91717,1600,847.068559
-17.689811,1600,907.680576
