#{"t_start": 1665226942.344575, "env_id": "BipedalWalker-v3"}
r,l,t
-103.369411,66,2.306971
-103.911221,305,4.139736
-104.143407,174,5.189217
-110.897317,67,5.580935
-90.799149,194,6.736093
-101.376996,216,8.040001
-95.16968,226,9.413578
-104.281339,108,10.061454
-45.088294,1600,64.305884
-105.869515,574,108.864641
-161.767035,1531,159.75175
-119.289148,1047,165.884352
-35.017134,1600,177.918051
-110.494619,52,178.233871
-111.31141,51,181.254986
-100.760868,369,183.44433
-113.462226,46,183.719599
-122.07096,101,184.32926
-108.422108,269,185.945432
-107.913723,264,187.511698
-98.164115,154,188.422862
-37.042099,1600,239.774569
-114.225867,60,240.129489
-124.087758,110,240.774111
-101.305855,99,241.350907
-115.664819,59,245.89064
-40.436492,1600,297.052373
-29.885444,1600,348.505244
-52.78161,1600,399.830834
-36.321931,1600,451.363463
-99.729515,83,451.854696
-31.608499,1600,503.193207
-30.430442,1600,554.952308
-27.811207,1600,566.930165
-33.285038,1600,618.746282
-112.946088,48,619.030351
-30.205451,1600,670.824796
-26.688428,1600,722.599755
-33.265803,1600,774.776266
-101.371097,170,775.787823
-26.203222,1600,828.090018
