#{"t_start": 1665171564.9917326, "env_id": "BipedalWalker-v3"}
r,l,t
-108.085273,203,3.611855
-103.721483,56,4.004662
-101.664496,79,4.5513
-106.824666,50,4.895614
-105.617966,70,5.361317
-116.350637,99,5.998508
-120.59992,101,6.687117
-126.213172,95,7.332238
-121.654582,127,8.173427
-104.90575,121,8.962481
-99.982652,1600,62.976681
-63.45714,1600,117.310907
-49.184588,1600,173.556046
-43.148742,1600,229.028935
-115.507949,45,229.348072
-41.070704,1600,285.738203
-40.985384,1600,342.491987
-36.883089,1600,398.058388
-37.732125,1600,458.257341
-23.013423,1600,516.100711
-19.806814,1600,574.550186
-14.363768,1600,630.068308
-27.823553,1600,687.340403
-28.995217,1600,741.441276
-19.094695,1600,844.730398
-18.351486,1600,901.665683
-120.027394,173,902.78726
-21.993329,1600,956.180096
-22.60542,1600,970.089399
-17.901957,1600,982.820186
-114.099074,78,983.332759
