#{"t_start": 1665125460.013406, "env_id": "Acrobot-v1"}
r,l,t
-500.0,500,4.003244
-240.0,241,4.880727
-131.0,132,5.349983
-106.0,107,5.732548
-143.0,144,6.25827
-126.0,127,6.725803
-122.0,123,7.163659
-107.0,108,7.543205
-113.0,114,12.174876
-135.0,136,12.677174
-104.0,105,13.075794
-97.0,98,13.423633
-114.0,115,13.831643
-191.0,192,14.528307
-103.0,104,14.894423
-100.0,101,15.248597
-78.0,79,15.529631
-82.0,83,15.818959
-99.0,100,16.176059
-84.0,85,16.478644
-80.0,81,16.76647
-78.0,79,17.048141
-93.0,94,17.383562
-152.0,153,18.936963
-89.0,90,19.258382
-100.0,101,19.632353
-90.0,91,19.976862
-80.0,81,20.263321
-62.0,63,20.492127
-104.0,105,20.878497
-77.0,78,21.164344
-77.0,78,21.44364
-84.0,85,21.754064
-108.0,109,22.156178
-117.0,118,22.577051
-76.0,77,22.853884
-75.0,76,23.132947
-91.0,92,23.461086
-76.0,77,23.739776
-95.0,96,24.083179
-272.0,273,26.100285
-104.0,105,26.476609
-76.0,77,26.746115
-94.0,95,27.084078
-146.0,147,27.602051
-74.0,75,27.867316
-88.0,89,28.182593
-86.0,87,28.492582
-107.0,108,28.867303
-97.0,98,29.218599
-75.0,76,29.487066
-76.0,77,29.756025
-69.0,70,30.003001
-93.0,94,30.33719
-112.0,113,30.741915
-86.0,87,32.027805
-80.0,81,32.315681
-71.0,72,32.576399
-71.0,72,32.833251
-76.0,77,33.11175
-119.0,120,33.538396
-74.0,75,33.802952
-76.0,77,34.073649
-78.0,79,34.355704
-61.0,62,34.572067
-72.0,73,34.83398
-73.0,74,35.098759
-73.0,74,35.355705
-72.0,73,35.616629
-77.0,78,35.898541
-85.0,86,36.204364
-74.0,75,36.472467
-93.0,94,36.807718
-71.0,72,37.060932
-97.0,98,37.408535
-88.0,89,39.297279
-78.0,79,39.574103
-94.0,95,39.910732
-181.0,182,40.561125
-76.0,77,40.831179
-89.0,90,41.147534
-88.0,89,41.469922
-85.0,86,41.776414
-68.0,69,42.019643
-73.0,74,42.283515
-63.0,64,42.504038
-154.0,155,43.052081
-69.0,70,43.30319
-72.0,73,43.562664
-71.0,72,43.817044
-95.0,96,44.165297
-97.0,98,44.509625
-83.0,84,45.80892
-81.0,82,46.101988
-69.0,70,46.350678
-70.0,71,46.604898
-124.0,125,47.048291
-98.0,99,47.397089
-69.0,70,47.646138
-84.0,85,47.944724
-87.0,88,48.256181
-133.0,134,48.732469
-95.0,96,49.071481
-70.0,71,49.3221
-82.0,83,49.623677
-92.0,93,49.94936
-76.0,77,50.226625
-112.0,113,50.624608
-87.0,88,50.940488
-143.0,144,54.255169
-79.0,80,54.541696
-70.0,71,54.792918
-73.0,74,55.051172
-92.0,93,55.36133
-68.0,69,55.592792
-82.0,83,55.878294
-78.0,79,56.14833
-75.0,76,56.404847
-80.0,81,56.678405
-90.0,91,56.984484
-85.0,86,57.285745
-88.0,89,57.592284
-116.0,117,57.993289
-89.0,90,58.301098
-77.0,78,58.563357
-73.0,74,58.81528
-87.0,88,59.114891
-157.0,158,61.06399
-77.0,78,61.348249
-70.0,71,61.60289
-88.0,89,61.920386
-129.0,130,62.405586
-75.0,76,62.683255
-76.0,77,62.957647
-92.0,93,63.292778
-74.0,75,63.564155
-76.0,77,63.838053
-95.0,96,64.189122
-75.0,76,64.463809
-71.0,72,64.716554
-71.0,72,64.9792
-88.0,89,65.300396
-89.0,90,65.624105
-93.0,94,65.960649
-69.0,70,66.205655
-76.0,77,67.748358
-77.0,78,68.014987
-80.0,81,68.289176
-77.0,78,68.557628
-70.0,71,68.805128
-85.0,86,69.123976
-91.0,92,69.466584
-94.0,95,69.819268
-110.0,111,70.228115
-95.0,96,70.57839
-77.0,78,70.863987
-85.0,86,71.173657
-87.0,88,71.492755
-84.0,85,71.794195
-79.0,80,72.083776
-84.0,85,72.388712
-67.0,68,72.631642
-68.0,69,72.883527
-80.0,81,73.171632
-82.0,83,74.428935
-68.0,69,74.67219
-102.0,103,75.025155
-107.0,108,75.422984
-76.0,77,75.702594
-79.0,80,76.017674
-69.0,70,76.275113
-90.0,91,76.603083
-70.0,71,76.868074
-78.0,79,77.152786
-80.0,81,77.446492
-101.0,102,77.807603
-70.0,71,78.060514
-68.0,69,78.305471
-75.0,76,78.576121
-97.0,98,78.925837
-68.0,69,79.173846
-79.0,80,79.467251
-78.0,79,79.759067
-79.0,80,81.085423
-86.0,87,81.40106
-117.0,118,81.821445
-79.0,80,82.115628
-92.0,93,82.450898
-70.0,71,82.699358
-77.0,78,82.976748
-89.0,90,83.312214
-76.0,77,83.590629
-84.0,85,83.895546
-71.0,72,84.159809
-69.0,70,84.410819
-97.0,98,84.761569
-79.0,80,85.046155
-88.0,89,85.364839
-84.0,85,85.669472
-99.0,100,86.026494
-75.0,76,86.298832
-69.0,70,88.96581
-79.0,80,89.268016
-74.0,75,89.535802
-76.0,77,89.830666
-90.0,91,90.161197
-70.0,71,90.413566
-77.0,78,90.697175
-69.0,70,90.946015
-76.0,77,91.22481
-115.0,116,91.647736
-68.0,69,91.894893
-78.0,79,92.18227
-73.0,74,92.451745
-112.0,113,92.847428
-80.0,81,93.135854
-84.0,85,93.437315
-89.0,90,93.754174
-79.0,80,94.036054
-70.0,71,94.290036
-70.0,71,95.702177
-71.0,72,95.95319
-89.0,90,96.273384
-90.0,91,96.596473
-70.0,71,96.854684
-77.0,78,97.132652
-72.0,73,97.408794
-70.0,71,97.66854
-78.0,79,97.963313
-77.0,78,98.247043
-74.0,75,98.522768
-77.0,78,98.812672
-72.0,73,99.084167
-70.0,71,99.3449
-81.0,82,99.647187
-70.0,71,99.907964
-71.0,72,100.179667
-72.0,73,100.444031
-79.0,80,100.737
-75.0,76,101.024787
-81.0,82,101.327773
-79.0,80,102.858652
-89.0,90,103.191901
-110.0,111,103.608352
-122.0,123,104.101919
-93.0,94,104.460257
-97.0,98,104.837121
-94.0,95,105.197848
-78.0,79,105.487364
-83.0,84,105.797208
-83.0,84,106.097507
-96.0,97,106.440186
-75.0,76,106.708088
-76.0,77,106.984983
-94.0,95,107.329957
-99.0,100,107.696562
-71.0,72,107.954537
-99.0,100,108.319433
-113.0,114,110.690814
-69.0,70,110.943246
-72.0,73,111.205874
-68.0,69,111.461774
-71.0,72,111.728093
-88.0,89,112.048938
-87.0,88,112.375368
-80.0,81,112.672913
-95.0,96,113.022452
-71.0,72,113.298977
-79.0,80,113.594486
-107.0,108,113.986979
-77.0,78,114.27757
-78.0,79,114.571505
-189.0,190,115.283673
-69.0,70,115.542195
-85.0,86,115.856473
-108.0,109,117.409085
-79.0,80,117.706682
-87.0,88,118.028742
-79.0,80,118.324874
-189.0,190,119.024522
-75.0,76,119.305618
-77.0,78,119.584961
-98.0,99,119.950484
-85.0,86,120.260455
-70.0,71,120.515878
-69.0,70,120.766268
-77.0,78,121.055392
-68.0,69,121.304342
-77.0,78,121.581423
-97.0,98,121.934936
-68.0,69,122.192065
-77.0,78,122.468172
-76.0,77,122.74665
-78.0,79,124.931785
-107.0,108,125.351038
-91.0,92,125.687389
-69.0,70,125.94156
-85.0,86,126.251567
-78.0,79,126.540406
-82.0,83,126.831758
-78.0,79,127.111536
-77.0,78,127.402685
-80.0,81,127.698018
-96.0,97,128.048651
-86.0,87,128.368397
-78.0,79,128.655613
-78.0,79,128.945465
-70.0,71,129.205685
-79.0,80,129.497999
-77.0,78,129.784651
-85.0,86,130.096763
-89.0,90,130.42799
-72.0,73,133.061608
-70.0,71,133.341215
-77.0,78,133.627651
-97.0,98,133.985749
-78.0,79,134.273005
-86.0,87,134.58816
-80.0,81,134.884126
-89.0,90,135.209673
-78.0,79,135.490747
-77.0,78,135.772744
-74.0,75,136.049773
-101.0,102,136.418685
-94.0,95,136.762758
-77.0,78,137.050391
-78.0,79,137.339105
-88.0,89,137.66349
-78.0,79,137.946501
-86.0,87,138.278816
-80.0,81,138.570898
-77.0,78,141.214008
-77.0,78,141.494189
-78.0,79,141.775567
-86.0,87,142.092917
-76.0,77,142.376457
-77.0,78,142.654248
-79.0,80,142.941883
-145.0,146,143.472362
-77.0,78,143.750639
-69.0,70,144.006218
-79.0,80,144.293208
-67.0,68,144.542738
-82.0,83,144.839589
-85.0,86,145.150505
-70.0,71,145.406498
-78.0,79,145.704487
