#{"t_start": 1665125460.0083873, "env_id": "Acrobot-v1"}
r,l,t
-367.0,368,3.538053
-373.0,374,4.887901
-318.0,319,6.038862
-117.0,118,6.457625
-123.0,124,6.911191
-108.0,109,7.30233
-124.0,125,7.738862
-92.0,93,12.310533
-325.0,326,13.505594
-97.0,98,13.851779
-82.0,83,14.158838
-114.0,115,14.566607
-118.0,119,14.985339
-95.0,96,15.322808
-86.0,87,15.62941
-86.0,87,15.940323
-69.0,70,16.190587
-72.0,73,16.447109
-87.0,88,16.763332
-122.0,123,17.197351
-80.0,81,17.48898
-102.0,103,18.855739
-84.0,85,19.164462
-82.0,83,19.469662
-78.0,79,19.766033
-87.0,88,20.09015
-104.0,105,20.46589
-74.0,75,20.738599
-92.0,93,21.086431
-115.0,116,21.504087
-65.0,66,21.74317
-85.0,86,22.059744
-82.0,83,22.361932
-94.0,95,22.701363
-79.0,80,22.992089
-65.0,66,23.227773
-107.0,108,23.618084
-74.0,75,23.887851
-96.0,97,24.233512
-70.0,71,25.533335
-81.0,82,25.823802
-92.0,93,26.151513
-98.0,99,26.507188
-91.0,92,26.832275
-87.0,88,27.144441
-89.0,90,27.461992
-74.0,75,27.727234
-87.0,88,28.040819
-78.0,79,28.320326
-83.0,84,28.613364
-94.0,95,28.944239
-129.0,130,29.407532
-73.0,74,29.669973
-85.0,86,29.972374
-90.0,91,30.298935
-88.0,89,30.611074
-98.0,99,31.941024
-103.0,104,32.314375
-64.0,65,32.547147
-93.0,94,32.886227
-164.0,165,33.474489
-63.0,64,33.701792
-79.0,80,33.983961
-80.0,81,34.2718
-71.0,72,34.523287
-91.0,92,34.853506
-81.0,82,35.143176
-86.0,87,35.450063
-82.0,83,35.745684
-97.0,98,36.09804
-86.0,87,36.408184
-110.0,111,36.801828
-93.0,94,37.136381
-90.0,91,39.03319
-80.0,81,39.319748
-72.0,73,39.575726
-68.0,69,39.820983
-76.0,77,40.091528
-75.0,76,40.36521
-154.0,155,40.910325
-96.0,97,41.256505
-80.0,81,41.547409
-75.0,76,41.817658
-94.0,95,42.151404
-74.0,75,42.419306
-84.0,85,42.717473
-104.0,105,43.08912
-70.0,71,43.342045
-80.0,81,43.632743
-94.0,95,43.973496
-79.0,80,44.258682
-71.0,72,44.51142
-88.0,89,45.828393
-79.0,80,46.116826
-93.0,94,46.451031
-96.0,97,46.793581
-82.0,83,47.089085
-98.0,99,47.437138
-72.0,73,47.696887
-75.0,76,47.963399
-68.0,69,48.206458
-83.0,84,48.506091
-78.0,79,48.787578
-87.0,88,49.096576
-76.0,77,49.373274
-89.0,90,49.697453
-73.0,74,49.953725
-70.0,71,50.211072
-74.0,75,50.476101
-73.0,74,50.735224
-75.0,76,51.009548
-136.0,137,54.297884
-78.0,79,54.582031
-71.0,72,54.834643
-91.0,92,55.153458
-71.0,72,55.394549
-83.0,84,55.676931
-71.0,72,55.92194
-75.0,76,56.180884
-77.0,78,56.445512
-82.0,83,56.728992
-98.0,99,57.058786
-72.0,73,57.320367
-87.0,88,57.623151
-71.0,72,57.866766
-89.0,90,58.174621
-93.0,94,58.495191
-83.0,84,58.780285
-85.0,86,59.070475
-69.0,70,60.701805
-71.0,72,60.957129
-80.0,81,61.253509
-97.0,98,61.607251
-96.0,97,61.949991
-110.0,111,62.372297
-77.0,78,62.654871
-67.0,68,62.90151
-91.0,92,63.229239
-69.0,70,63.482187
-77.0,78,63.764657
-76.0,77,64.040504
-79.0,80,64.32897
-70.0,71,64.582072
-78.0,79,64.864119
-87.0,88,65.18684
-73.0,74,65.454578
-69.0,70,65.706382
-87.0,88,66.018756
-82.0,83,67.585281
-71.0,72,67.830827
-108.0,109,68.203962
-77.0,78,68.470619
-69.0,70,68.710797
-71.0,72,68.97647
-77.0,78,69.265179
-93.0,94,69.609966
-88.0,89,69.93686
-76.0,77,70.226923
-95.0,96,70.577338
-76.0,77,70.855822
-72.0,73,71.120475
-76.0,77,71.396642
-77.0,78,71.67672
-79.0,80,71.961431
-77.0,78,72.242043
-79.0,80,72.529067
-72.0,73,72.798143
-76.0,77,73.072139
-79.0,80,74.314783
-78.0,79,74.599877
-70.0,71,74.84013
-85.0,86,75.154636
-88.0,89,75.470967
-85.0,86,75.79239
-77.0,78,76.097754
-68.0,69,76.348635
-85.0,86,76.659026
-76.0,77,76.945631
-76.0,77,77.222472
-71.0,72,77.478677
-92.0,93,77.811965
-75.0,76,78.082345
-86.0,87,78.394724
-70.0,71,78.646462
-84.0,85,78.947896
-120.0,121,79.386516
-89.0,90,79.722389
-125.0,126,81.213837
-91.0,92,81.544604
-71.0,72,81.802271
-76.0,77,82.084074
-78.0,79,82.368685
-80.0,81,82.653398
-71.0,72,82.911103
-94.0,95,83.262594
-92.0,93,83.597852
-78.0,79,83.881301
-77.0,78,84.167091
-164.0,165,84.760811
-75.0,76,85.030043
-105.0,106,85.407971
-78.0,79,85.692013
-85.0,86,85.996861
-76.0,77,86.277803
-79.0,80,88.982521
-72.0,73,89.255302
-72.0,73,89.517756
-80.0,81,89.821797
-70.0,71,90.080551
-67.0,68,90.326922
-75.0,76,90.599324
-93.0,94,90.935057
-75.0,76,91.205858
-87.0,88,91.53385
-92.0,93,91.867362
-93.0,94,92.206891
-68.0,69,92.458966
-102.0,103,92.819041
-70.0,71,93.077489
-68.0,69,93.31765
-68.0,69,93.563387
-95.0,96,93.898904
-76.0,77,94.173683
-80.0,81,94.459023
-99.0,100,95.972392
-79.0,80,96.257203
-62.0,63,96.484368
-69.0,70,96.73399
-106.0,107,97.116318
-78.0,79,97.413154
-71.0,72,97.675647
-69.0,70,97.932421
-85.0,86,98.251388
-86.0,87,98.574183
-77.0,78,98.858311
-71.0,72,99.129209
-188.0,189,99.827933
-78.0,79,100.118116
-80.0,81,100.417886
-70.0,71,100.679442
-108.0,109,101.085063
-71.0,72,101.350361
-95.0,96,102.939647
-80.0,81,103.237596
-75.0,76,103.52943
-92.0,93,103.897677
-71.0,72,104.178792
-80.0,81,104.486511
-72.0,73,104.766356
-74.0,75,105.059564
-95.0,96,105.414953
-96.0,97,105.768657
-73.0,74,106.03316
-83.0,84,106.332032
-85.0,86,106.636935
-81.0,82,106.927419
-67.0,68,107.173921
-86.0,87,107.488575
-170.0,171,108.11302
-69.0,70,108.364593
-80.0,81,110.616979
-90.0,91,110.947597
-68.0,69,111.199691
-68.0,69,111.450346
-83.0,84,111.759205
-88.0,89,112.084751
-96.0,97,112.441409
-110.0,111,112.852369
-74.0,75,113.133508
-78.0,79,113.424164
-87.0,88,113.749412
-100.0,101,114.11695
-79.0,80,114.415178
-84.0,85,114.736069
-85.0,86,115.05381
-89.0,90,115.38735
-107.0,108,115.78906
-85.0,86,117.252037
-71.0,72,117.523298
-86.0,87,117.844338
-80.0,81,118.141998
-76.0,77,118.42849
-84.0,85,118.744674
-121.0,122,119.186764
-83.0,84,119.49303
-77.0,78,119.776592
-88.0,89,120.102558
-92.0,93,120.440082
-70.0,71,120.695162
-71.0,72,120.956473
-93.0,94,121.296036
-71.0,72,121.557074
-76.0,77,121.831748
-68.0,69,122.088482
-108.0,109,122.48016
-79.0,80,122.766316
-74.0,75,124.936116
-97.0,98,125.318274
-77.0,78,125.600699
-71.0,72,125.865065
-80.0,81,126.154436
-88.0,89,126.478509
-88.0,89,126.797532
-78.0,79,127.076478
-79.0,80,127.37189
-69.0,70,127.628794
-94.0,95,127.974099
-78.0,79,128.262928
-92.0,93,128.602444
-77.0,78,128.888541
-79.0,80,129.183389
-91.0,92,129.517635
-69.0,70,129.772951
-82.0,83,130.077206
-86.0,87,130.39692
-72.0,73,133.023759
-69.0,70,133.306517
-83.0,84,133.612904
-92.0,93,133.949161
-77.0,78,134.238616
-86.0,87,134.552529
-84.0,85,134.860527
-69.0,70,135.112684
-79.0,80,135.402871
-80.0,81,135.692098
-86.0,87,136.012438
-76.0,77,136.293061
-77.0,78,136.579314
-80.0,81,136.870989
-80.0,81,137.165952
-82.0,83,137.468115
-91.0,92,137.802162
-78.0,79,138.102235
-88.0,89,138.429908
-77.0,78,141.048439
-92.0,93,141.408519
-74.0,75,141.675112
-73.0,74,141.941317
-85.0,86,142.256512
-71.0,72,142.513847
-81.0,82,142.811717
-76.0,77,143.086943
-77.0,78,143.372235
-78.0,79,143.657573
-70.0,71,143.91281
-70.0,71,144.169338
-69.0,70,144.421891
-84.0,85,144.729434
-70.0,71,144.984622
-109.0,110,145.379954
-83.0,84,145.696268
-70.0,71,145.952778
-96.0,97,146.304693
-86.0,87,146.617096
