#{"t_start": 1665200661.0768735, "env_id": "BipedalWalker-v3"}
r,l,t
-97.416216,72,3.061635
-79.658216,1600,55.712047
-103.858276,63,56.134918
-97.52255,69,56.558416
-100.649722,74,57.009422
-98.936687,105,57.655797
-96.772663,122,58.411195
-102.487855,90,58.962705
-97.453543,95,59.544104
-100.310959,82,60.041436
-97.745401,150,60.947474
-101.817089,99,61.541923
-98.426514,157,62.474209
-90.099221,1600,114.306537
-99.834573,1600,127.71164
-63.703363,1600,182.752264
-102.569687,123,183.516419
-101.087839,99,184.129729
-104.761038,77,228.77132
-39.079437,1600,284.068017
-36.306314,1600,339.973659
-37.101549,1600,394.999827
-101.561685,98,395.624105
-39.286507,1600,450.077949
-27.459975,1600,504.82328
-98.035215,114,505.541504
-30.561881,1600,561.310133
-25.474886,1600,615.127898
-24.327777,1600,669.57382
-20.198073,1600,724.233483
-26.724201,1600,778.095116
-23.197175,1600,832.910013
-31.084313,1600,887.417268
-18.936547,1600,943.683206
-26.895654,1600,999.393302
-90.033243,122,1000.202695
