#{"t_start": 1665157840.6118014, "env_id": "BipedalWalker-v3"}
r,l,t
-110.568388,57,2.612794
-102.915223,74,3.162263
-97.767469,114,3.944813
-103.010047,67,4.40789
-104.016048,92,5.019752
-106.727525,95,5.614558
-109.253207,55,5.967288
-98.176826,273,7.671155
-96.818255,147,8.584805
-124.486694,147,9.498847
-108.529014,56,9.848523
-108.970162,57,10.215139
-104.931338,47,10.514525
-113.072114,56,10.868549
-49.19628,1600,62.455335
-49.594032,1600,121.014232
-33.172422,1600,174.056675
-32.683468,1600,227.208332
-38.241345,1600,282.132475
-29.949173,1600,384.730987
-30.334715,1600,443.753291
-108.491174,70,444.237376
-30.338156,1600,502.499992
-36.486213,1600,563.66093
-39.141243,1600,619.81145
-36.424911,1600,675.910171
-37.598611,1600,732.630018
-32.326154,1600,785.869242
-31.940174,1600,841.473023
-30.283361,1600,897.312646
-30.657018,1600,952.406214
-114.910571,126,953.259524
-33.768025,1600,1008.71246
-35.444948,1600,1066.062033
